ts_ns,parent_current,parent_runway_below_high,main_current,main_anon,main_file,main_pgscan_direct,main_pgsteal_direct,main_psi_some_us,main_psi_full_us,sideload_current,sideload_file,parent_high_events,parent_max_events
1787749472756581102,57518395392,36970885120,57513762816,57396793344,0,0,0,0,0,1708032,0,0,0
1787749472887429965,57525956608,36963323904,57513762816,57396793344,0,0,0,0,0,9269248,0,0,0
1787749473022172841,57527914496,36961366016,57513762816,57396793344,0,0,0,0,0,11227136,0,0,0
1787749473156752483,57527914496,36961366016,57513762816,57396793344,0,0,0,0,0,11227136,0,0,0
1787749473291050760,57751916544,36737363968,57513762816,57396793344,0,0,0,0,0,235229184,257126400,0,0
1787749473428672219,58116272128,36373008384,57513762816,57396838400,0,0,0,0,0,599584768,656633856,0,0
1787749473563841602,58473275392,36016005120,57513762816,57396838400,0,0,0,0,0,956850176,1006989312,0,0
1787749473696305465,58824024064,35665256448,57513762816,57396838400,0,0,0,0,0,1307336704,1351970816,0,0
1787749473826691210,59169587200,35319693312,57513762816,57396838400,0,0,0,0,0,1652899840,1700753408,0,0
1787749473958662124,59518500864,34970779648,57513762816,57396838400,0,0,0,0,0,2002075648,2043506688,0,0
1787749474088249825,59862171648,34627108864,57513762816,57396838400,0,0,0,0,0,2345484288,2382983168,0,0
1787749474217319165,60195880960,34293399552,57513762816,57396838400,0,0,0,0,0,2679455744,2723246080,0,0
1787749474349010064,60545318912,33943961600,57513762816,57396838400,0,0,0,0,0,3028893696,3083825152,0,0
1787749474488274233,60915204096,33574076416,57513762816,57396838400,0,0,0,0,0,3398516736,3444535296,0,0
1787749474620921530,61265952768,33223327744,57513762816,57396838400,0,0,0,0,0,3749527552,3792269312,0,0
1787749474752887454,61615128576,32874151936,57513762816,57396838400,0,0,0,0,0,4098441216,4135415808,0,0
1787749474882244830,61958537216,32530743296,57513762816,57396838400,0,0,0,0,0,4442112000,4480921600,0,0
1787749475013096684,62306140160,32183140352,57513762816,57396838400,0,0,0,0,0,4789452800,4834553856,0,0
1787749475147835839,62664491008,31824789504,57513762816,57396838400,0,0,0,0,0,5148065792,5185695744,0,0
1787749475279815983,63005016064,31484264448,57513762816,57396838400,0,0,0,0,0,5488328704,5516783616,0,0
1787749475407039510,63342395392,31146885120,57513762816,57396838400,0,0,0,0,0,5825708032,5868580864,0,0
1787749475540863919,63697596416,30791684096,57513762816,57396838400,0,0,0,0,0,6180909056,6208581632,0,0
1787749475668824899,64037335040,30451945472,57513762816,57396838400,0,0,0,0,0,6520647680,6554873856,0,0
1787749475798898988,64382316544,30106963968,57513762816,57396838400,0,0,0,0,0,6865891328,6901690368,0,0
1787749475930447695,64731754496,29757526016,57513762816,57396838400,0,0,0,0,0,7215329280,7238545408,0,0
1787749476057888735,65069920256,29419360256,57513762816,57396838400,0,0,0,0,0,7553232896,7577759744,0,0
1787749476185403937,65407037440,29082243072,57513762816,57396838400,0,0,0,0,0,7890612224,7905439744,0,0
1787749476312839318,65737863168,28751417344,57513762816,57396838400,0,0,0,0,0,8221175808,8245833728,0,0
1787749476440657556,66077077504,28412203008,57513762816,57396838400,0,0,0,0,0,8560390144,8583344128,0,0
1787749476568478233,66415763456,28073517056,57513762816,57396838400,0,0,0,0,0,8899338240,8919019520,0,0
1787749476695264632,66751569920,27737710592,57513762816,57396838400,0,0,0,0,0,9235144704,9253122048,0,0
1787749476821689734,67086327808,27402952704,57513762816,57396838400,0,0,0,0,0,9569640448,9585913856,0,0
1787749476947608056,67418726400,27070554112,57513762816,57396838400,0,0,0,0,0,9902301184,9917788160,0,0
1787749477073510169,67753218048,26736062464,57513762816,57396838400,0,0,0,0,0,10236792832,10253594624,0,0
1787749477200670164,68081684480,26407596032,57513762816,57396838400,0,0,0,0,0,10565259264,10578915328,0,0
1787749477326836691,68416966656,26072313856,57513762816,57396838400,0,0,0,0,0,10900541440,10914590720,0,0
1787749477453130361,68750938112,25738342400,57513762816,57396838400,0,0,0,0,0,11234512896,11273990144,0,0
1787749477589951494,69114003456,25375277056,57513762816,57396838400,0,0,0,0,0,11597316096,11624607744,0,0
1787749477722750374,69463703552,25025576960,57513762816,57396838400,0,0,0,0,0,11947278336,11964608512,0,0
1787749477851758524,69805015040,24684265472,57513762816,57396838400,0,0,0,0,0,12288589824,12304609280,0,0
1787749477980674051,70146850816,24342429696,57513762816,57396838400,0,0,0,0,0,12630163456,12639629312,0,0
1787749478107468420,70481924096,24007356416,57513762816,57396838400,0,0,0,0,0,12965236736,12977008640,0,0
1787749478234599335,70809866240,23679414272,57513762816,57396838400,0,0,0,0,0,13293178880,13302722560,0,0
1787749478361658989,71146721280,23342559232,57513762816,57396838400,0,0,0,0,0,13630296064,13641543680,0,0
1787749478489126790,71482785792,23006494720,57513762816,57396838400,0,0,0,0,0,13966098432,13971320832,0,0
1787749478615080083,71815970816,22673309696,57513762816,57396838400,0,0,0,0,0,14299283456,14311190528,0,0
1787749478743549023,72156495872,22332784640,57513762816,57396838400,0,0,0,0,0,14640070656,14651453440,0,0
1787749478871914801,72497020928,21992259584,57513762816,57396838400,0,0,0,0,0,14980333568,14986866688,0,0
1787749478999044006,72834138112,21655142400,57513762816,57396838400,0,0,0,0,0,15317450752,15325032448,0,0
1787749479126642869,73171771392,21317509120,57513762816,57396838400,0,0,0,0,0,15655346176,15659528192,0,0
1787749479253465088,73497616384,20991664128,57513762816,57396838400,0,0,0,0,0,15981191168,15989960704,0,0
1787749479382476178,73840762880,20648517632,57513762816,57396838400,0,0,0,0,0,16324337664,16325505024,0,0
1787749479508675746,74175516672,20313763840,57513762816,57396838400,0,0,0,0,0,16658829312,16670355456,0,0
1787749479639644781,74523381760,19965898752,57513762816,57396838400,0,0,0,0,0,17006694400,17025167360,0,0
1787749479774278525,74880684032,19608596480,57513762816,57396838400,0,0,0,0,0,17363996672,17377095680,0,0
1787749479906646596,75231432704,19257847808,57513762816,57396838400,0,0,0,0,0,17714745344,17718669312,0,0
1787749480035346370,75571429376,18917851136,57513762816,57396838400,0,0,0,0,0,18055004160,18064568320,0,0
1787749480167431697,75921915904,18567364608,57513762816,57396838400,0,0,0,0,0,18405490688,18407976960,0,0
1787749480296440256,76255100928,18234179584,57513762816,57396838400,0,0,0,0,0,18738413568,18736967680,0,0
1787749480423895527,76593528832,17895751680,57513762816,57396838400,0,0,0,0,0,19076841472,19076050944,0,0
1787749480551749435,76932481024,17556799488,57513762816,57396838400,0,0,0,0,0,19415793664,19416838144,0,0
1787749480680878537,77274316800,17214963712,57513762816,57396838400,0,0,0,0,0,19757891584,19751333888,0,0
1787749480807022374,77605928960,16883351552,57513762816,57396838400,0,0,0,0,0,20089241600,20082683904,0,0
1787749480933846143,77941735424,16547545088,57513762816,57396838400,0,0,0,0,0,20425310208,20416786432,0,0
1787749481060098532,78273081344,16216199168,57513762816,57396838400,0,0,0,0,0,20756656128,20768321536,0,0
1787749481194970680,78630383616,15858896896,57513762816,57396838400,0,0,0,0,0,21113958400,21097967616,0,0
1787749481322997991,78959374336,15529906176,57513762816,57396838400,0,0,0,0,0,21442686976,21436919808,0,0
1787749481453131742,79304355840,15184924672,57513762816,57396838400,0,0,0,0,0,21787668480,21789372416,0,0
1787749481587129133,79654055936,14835224576,57513762816,57396838400,0,0,0,0,0,22137630720,22134222848,0,0
1787749481717571679,79993794560,14495485952,57513762816,57396838400,0,0,0,0,0,22477369344,22471733248,0,0
1787749481848623616,80336416768,14152863744,57513762816,57396838400,0,0,0,0,0,22819991552,22810292224,0,0
1787749481976978334,80676941824,13812338688,57513762816,57396838400,0,0,0,0,0,23160254464,23146491904,0,0
1787749482103898655,81011695616,13477584896,57513762816,57396838400,0,0,0,0,0,23495270400,23480332288,0,0
1787749482230971829,81338327040,13150953472,57513762816,57396838400,0,0,0,0,0,23821639680,23817318400,0,0
1787749482364693695,81684094976,12805185536,57513762816,57396838400,0,0,0,0,0,24167669760,24166100992,0,0
1787749482499594054,82041921536,12447358976,57513762816,57396838400,0,0,0,0,0,24525496320,24530219008,0,0
1787749482635824626,82401058816,12088221696,57513762816,57396838400,0,0,0,0,0,24884633600,24870875136,0,0
1787749482765066230,82742894592,11746385920,57513762816,57396838400,0,0,0,0,0,25226469376,25214939136,0,0
1787749482895274802,83087351808,11401928704,57513762816,57396838400,0,0,0,0,0,25570926592,25554677760,0,0
1787749483026049394,83425775616,11063504896,57513762816,57396838400,0,0,0,0,0,25909088256,25904377856,0,0
1787749483160480964,83781767168,10707513344,57513762816,57396838400,0,0,0,0,0,26265341952,26249228288,0,0
1787749483289790319,84115214336,10374066176,57513762816,57396838400,0,0,0,0,0,26598789120,26560655360,0,0
1787749483421219333,84458360832,10030919680,57513762816,57396838400,0,0,0,0,0,26941935616,26938142720,0,0
1787749483555758605,84812517376,9676763136,57513762816,57396838400,0,0,0,0,0,27295830016,27273818112,0,0
1787749483687787710,85148848128,9340432384,57513762816,57396838400,0,0,0,0,0,27632422912,27615129600,0,0
1787749483817722087,85490159616,8999120896,57513762816,57396838400,0,0,0,0,0,27973472256,27959324672,0,0
1787749483950811292,85838548992,8650731520,57513762816,57396838400,0,0,0,0,0,28321861632,28306927616,0,0
1787749484082767606,86184046592,8305233920,57513762816,57396838400,0,0,0,0,0,28667359232,28643127296,0,0
1787749484209869480,86502289408,7986991104,57513762816,57396838400,0,0,0,0,0,28985864192,28959666176,0,0
1787749484336811251,86837571584,7651708928,57513762816,57396838400,0,0,0,0,0,29321146368,29301239808,0,0
1787749484466810589,87182028800,7307251712,57513762816,57396838400,0,0,0,0,0,29665341440,29644648448,0,0
1787749484596748356,87519670272,6969610240,57513762816,57396838400,0,0,0,0,0,30002982912,29974949888,0,0
1787749484724088915,87853641728,6635638784,57513762816,57396838400,0,0,0,0,0,30336954368,30314688512,0,0
1787749484854553251,88196788224,6292492288,57513762816,57396838400,0,0,0,0,0,30680363008,30650757120,0,0
1787749484983190974,88538361856,5950918656,57513762816,57396838400,0,0,0,0,0,31021936640,30998097920,0,0
1787749485113901435,88884125696,5605154816,57513762816,57396838400,0,0,0,0,0,31367438336,31336919040,0,0
1787749485241687522,89212592128,5276688384,57513762816,57396838400,0,0,0,0,0,31695904768,31663288320,0,0
1787749485369150713,89547087872,4942192640,57513762816,57396838400,0,0,0,0,0,32030662656,31991230464,0,0
1787749485495878050,89870311424,4618969088,57513762816,57396838400,0,0,0,0,0,32353624064,32318910464,0,0
1787749485622579727,90206642176,4282638336,57513762816,57396838400,0,0,0,0,0,32689954816,32653012992,0,0
1787749485748670013,90537730048,3951550464,57513762816,57396838400,0,0,0,0,0,33021304832,32984100864,0,0
1787749485874829920,90864361472,3624919040,57513762816,57396838400,0,0,0,0,0,33347674112,33309290496,0,0
1787749486000858575,91197018112,3292262400,57513762816,57396838400,0,0,0,0,0,33680330752,33643393024,0,0
1787749486127627473,91530989568,2958290944,57513762816,57396838400,0,0,0,0,0,34014564352,33974480896,0,0
1787749486252829613,91852902400,2636378112,57513762816,57396838400,0,0,0,0,0,34336477184,34296786944,0,0
1787749486378965449,92182679552,2306600960,57513762816,57396838400,0,0,0,0,0,34666254336,34628792320,0,0
1787749486506700985,92518486016,1970794496,57513762816,57396838400,0,0,0,0,0,35002060800,34962108416,0,0
1787749486633678437,92853506048,1635774464,57513762816,57396838400,0,0,0,0,0,35337080832,35296079872,0,0
1787749486760233172,93189050368,1300230144,57513762816,57396838400,0,0,0,0,0,35672625152,35628216320,0,0
1787749486885886949,93521186816,968093696,57513762816,57396838400,0,0,0,0,0,36004499456,35962580992,0,0
1787749487013084725,93856727040,632553472,57513762816,57396838400,0,0,0,0,0,36340039680,36323553280,0,0
1787749487151327825,94221631488,267649024,57513762816,57396838400,0,0,0,0,0,36704944128,36674039808,0,0
1787749487284526222,94488363008,917504,57513762816,57396838400,0,0,0,0,0,36971937792,36872482816,19,0
1787749487413826217,94487314432,1966080,57513762816,57396838400,0,0,0,0,0,36970889216,36869206016,90,0
1787749487549230775,94483120128,6160384,57513762816,57396838400,0,0,0,0,0,36966432768,36869730304,165,0
1787749487680404104,94487314432,1966080,57513762816,57396838400,0,0,0,0,0,36970627072,36873662464,235,0
1787749487811014713,94484955136,4325376,57513762816,57396838400,0,0,0,0,0,36968267776,36871303168,306,0
1787749487942103481,94484692992,4587520,57513762816,57396838400,0,0,0,0,0,36965122048,36869730304,375,0
1787749488070148083,94480302080,8978432,57513566208,57396838400,0,0,0,0,0,36964073472,36872220672,445,0
1787749488198848977,94488166400,1114112,57513566208,57396838400,0,0,0,0,0,36971937792,36872744960,513,0
1787749488329882494,94487904256,1376256,57513566208,57396838400,0,0,0,0,0,36971675648,36868157440,588,0
1787749488458592498,94487642112,1638400,57513566208,57396838400,0,0,0,0,0,36971151360,36869337088,660,0
1787749488587260461,94489214976,65536,57513566208,57396838400,0,0,0,0,0,36972986368,36869992448,733,0
1787749488715689380,94486331392,2949120,57513566208,57396838400,0,0,0,0,0,36969840640,36860555264,807,0
1787749488842686482,94489477120,-196608,57513566208,57396838400,0,0,0,0,0,36972986368,36861603840,879,0
1787749488969638114,94489214976,65536,57513566208,57396838400,0,0,0,0,0,36972724224,36866453504,951,0
1787749489098466730,94488424448,856064,57513566208,57396838400,0,0,0,0,0,36969312256,36866453504,1024,0
1787749489227095053,94488162304,1118208,57513566208,57396838400,0,0,0,0,0,36971671552,36864356352,1095,0
1787749489354762788,94488162304,1118208,57513566208,57396838400,0,0,0,0,0,36971933696,36864487424,1168,0
1787749489484993850,94489473024,-192512,57513566208,57396838400,0,0,0,0,0,36971671552,36864356352,1245,0
1787749489619380049,94487638016,1642496,57513566208,57396838400,0,0,0,0,0,36971409408,36862914560,1320,0
1787749489751970334,94488686592,593920,57513566208,57396838400,0,0,0,0,0,36972195840,36856885248,1396,0
1787749489883044652,94480822272,8458240,57513566208,57396838400,0,0,0,0,0,36964593664,36860817408,1473,0
1787749490018755995,94489206784,73728,57513566208,57396838400,0,0,0,0,0,36972978176,36858458112,1549,0
1787749490152912830,94486847488,2433024,57513566208,57396838400,0,0,0,0,0,36970356736,36861079552,1623,0
1787749490285067247,94480293888,8986624,57513566208,57396838400,0,0,0,0,0,36963803136,36853215232,1697,0
1787749490416976040,94483177472,6103040,57513566208,57396838400,0,0,0,0,0,36966948864,36858064896,1772,0
1787749490549432223,94488158208,1122304,57513566208,57396838400,0,0,0,0,0,36971667456,36850331648,1848,0
1787749490682543939,94489468928,-188416,57513566208,57396838400,0,0,0,0,0,36969832448,36857278464,1924,0
1787749490811193892,94488158208,1122304,57513566208,57396838400,0,0,0,0,0,36971667456,36852690944,1998,0
1787749490938988519,94489468928,-188416,57513566208,57396838400,0,0,0,0,0,36970881024,36854919168,2071,0
1787749491065770267,94488940544,339968,57513566208,57396838400,0,0,0,0,0,36972449792,36854394880,2143,0
1787749491192927413,94481338368,7942144,57513566208,57396838400,0,0,0,0,0,36965109760,36846923776,2214,0
1787749491320460765,94489464832,-184320,57513566208,57396838400,0,0,0,0,0,36972974080,36853215232,2287,0
1787749491450134517,94487629824,1650688,57513566208,57396838400,0,0,0,0,0,36971401216,36847710208,2361,0
1787749491583434175,94484484096,4796416,57513566208,57396838400,0,0,0,0,0,36965109760,36846530560,2438,0
1787749491714111676,94480289792,8990720,57513566208,57396838400,0,0,0,0,0,36964061184,36847972352,2514,0
1787749491845783985,94483173376,6107136,57513566208,57396838400,0,0,0,0,0,36966944768,36850069504,2589,0
1787749491979570552,94487629824,1650688,57513566208,57396838400,0,0,0,0,0,36971139072,36849414144,2664,0
1787749492111684779,94481072128,8208384,57513566208,57396838400,0,0,0,0,0,36964843520,36844564480,2742,0
1787749492242875279,94485266432,4014080,57513566208,57396838400,0,0,0,0,0,36968775680,36847579136,2814,0
1787749492373262374,94483431424,5849088,57513566208,57396838400,0,0,0,0,0,36966940672,36844040192,2889,0
1787749492503831412,94482644992,6635520,57513566208,57396838400,0,0,0,0,0,36966416384,36845613056,2964,0
1787749492635800806,94485004288,4276224,57513566208,57396838400,0,0,0,0,0,36968775680,36843253760,3039,0
