ts_ns,parent_current,parent_runway_below_high,main_current,main_anon,main_file,main_pgscan_direct,main_pgsteal_direct,main_psi_some_us,main_psi_full_us,sideload_current,sideload_file,parent_high_events,parent_max_events
1787748719460586541,57517264896,36972015616,57512439808,57396797440,0,0,0,0,0,1900544,0,0,0
1787748719594413704,57524961280,36964319232,57512439808,57396797440,0,0,0,0,0,9596928,0,0,0
1787748719727725547,57526902784,36962377728,57512439808,57396797440,0,0,0,0,0,11538432,0,0,0
1787748719856418255,57526902784,36962377728,57512439808,57396797440,0,0,0,0,0,11538432,0,0,0
1787748719985381478,57527148544,36962131968,57512439808,57396797440,0,0,0,0,0,11784192,0,0,0
1787748720118477637,57527111680,36962168832,57512439808,57396797440,0,0,0,0,0,11747328,0,0,0
1787748720248287596,57527111680,36962168832,57512439808,57396797440,0,0,0,0,0,11747328,0,0,0
1787748720376018647,57527021568,36962258944,57512439808,57396797440,0,0,0,0,0,11657216,0,0,0
1787748720509990212,57745096704,36744183808,57512439808,57396797440,0,0,0,0,0,229994496,275910656,0,0
1787748720639982284,58088767488,36400513024,57512439808,57396797440,0,0,0,0,0,573403136,624562176,0,0
1787748720771447023,58437419008,36051861504,57512439808,57396842496,0,0,0,0,0,922316800,959844352,0,0
1787748720898032642,58773225472,35716055040,57512439808,57396842496,0,0,0,0,0,1257861120,1293553664,0,0
1787748721024204394,59106148352,35383132160,57512439808,57396842496,0,0,0,0,0,1590784000,1629097984,0,0
1787748721151639109,59442479104,35046801408,57512439808,57396842496,0,0,0,0,0,1927376896,1960579072,0,0
1787748721277578666,59767799808,34721480704,57512439808,57396842496,0,0,0,0,0,2252435456,2285113344,0,0
1787748721404127754,60102295552,34386984960,57512439808,57396842496,0,0,0,0,0,2587193344,2628390912,0,0
1787748721535578563,60450639872,34038640640,57512439808,57396842496,0,0,0,0,0,2935275520,2985037824,0,0
1787748721670254012,60807942144,33681338368,57512439808,57396842496,0,0,0,0,0,3292839936,3335131136,0,0
1787748721804613795,61165748224,33323532288,57512439808,57396842496,0,0,0,0,0,3650646016,3692564480,0,0
1787748721937216785,61515448320,32973832192,57512439808,57396842496,0,0,0,0,0,4000083968,4037545984,0,0
1787748722067180266,61860429824,32628850688,57512439808,57396842496,0,0,0,0,0,4345065472,4380692480,0,0
1787748722198440982,62202265600,32287014912,57512439808,57396842496,0,0,0,0,0,4686901248,4718202880,0,0
1787748722328342142,62543577088,31945703424,57512439808,57396842496,0,0,0,0,0,5028474880,5061349376,0,0
1787748722458789373,62889590784,31599689728,57512439808,57396842496,0,0,0,0,0,5374488576,5416816640,0,0
1787748722592215158,63243223040,31246057472,57512439808,57396842496,0,0,0,0,0,5728120832,5769269248,0,0
1787748722724952501,63595020288,30894260224,57512439808,57396842496,0,0,0,0,0,6079918080,6118838272,0,0
1787748722857078052,63945506816,30543773696,57512439808,57396842496,0,0,0,0,0,6430404608,6460805120,0,0
1787748722989434548,64298090496,30191190016,57512439808,57396842496,0,0,0,0,0,6782988288,6816010240,0,0
1787748723123470055,64654082048,29835198464,57512439808,57396842496,0,0,0,0,0,7138979840,7181438976,0,0
1787748723258232035,65001947136,29487333376,57512439808,57396842496,0,0,0,0,0,7486844928,7511085056,0,0
1787748723386207410,65341423616,29147856896,57512439808,57396842496,0,0,0,0,0,7826321408,7857770496,0,0
1787748723517887633,65690230784,28799049728,57512439808,57396842496,0,0,0,0,0,8174866432,8201441280,0,0
1787748723648763761,66037833728,28451446784,57512439808,57396842496,0,0,0,0,0,8522469376,8553893888,0,0
1787748723780055567,66385960960,28103319552,57512439808,57396842496,0,0,0,0,0,8870596608,8895991808,0,0
1787748723910673361,66733039616,27756240896,57512439808,57396842496,0,0,0,0,0,9217675264,9236910080,0,0
1787748724038886660,67074088960,27415191552,57512439808,57396842496,0,0,0,0,0,9558986752,9580187648,0,0
1787748724167978905,67415662592,27073617920,57512439808,57396842496,0,0,0,0,0,9900298240,9918222336,0,0
1787748724297243434,67750158336,26739122176,57512439808,57396842496,0,0,0,0,0,10234793984,10261893120,0,0
1787748724428104852,68096712704,26392567808,57512439808,57396842496,0,0,0,0,0,10581348352,10601107456,0,0
1787748724556886962,68437762048,26051518464,57512439808,57396842496,0,0,0,0,0,10922659840,10940059648,0,0
1787748724684823716,68775403520,25713876992,57512439808,57396842496,0,0,0,0,0,11260039168,11272982528,0,0
