Per-Second Benchmark Data
Second,SET Requests,SET Average Latency,SET Total Bytes,GET Requests,GET Average Latency,GET Total Bytes,GET Misses,GET Hits,WAIT Requests,WAIT Average Latency
0,13512,0.000073,14457840,0,0.000000,0,0,0,0,0.000000
1,13833,0.000071,14801310,0,0.000000,0,0,0,0,0.000000
2,13232,0.000074,14158240,0,0.000000,0,0,0,0,0.000000
3,12793,0.000077,13688510,0,0.000000,0,0,0,0,0.000000
4,13695,0.000072,14653650,0,0.000000,0,0,0,0,0.000000
5,12934,0.000076,13839380,0,0.000000,0,0,0,0,0.000000
6,13110,0.000075,14027700,0,0.000000,0,0,0,0,0.000000
7,14029,0.000070,15011030,0,0.000000,0,0,0,0,0.000000
8,11687,0.000084,12505090,0,0.000000,0,0,0,0,0.000000
9,13599,0.000072,14550930,0,0.000000,0,0,0,0,0.000000
10,13481,0.000073,14424670,0,0.000000,0,0,0,0,0.000000
11,13291,0.000074,14221370,0,0.000000,0,0,0,0,0.000000
12,13150,0.000075,14070500,0,0.000000,0,0,0,0,0.000000
13,13298,0.000074,14228860,0,0.000000,0,0,0,0,0.000000
14,13584,0.000073,14534880,0,0.000000,0,0,0,0,0.000000
15,13830,0.000071,14798100,0,0.000000,0,0,0,0,0.000000
16,12541,0.000079,13418870,0,0.000000,0,0,0,0,0.000000
17,12873,0.000077,13774110,0,0.000000,0,0,0,0,0.000000
18,13669,0.000072,14625830,0,0.000000,0,0,0,0,0.000000
19,12252,0.000080,13109640,0,0.000000,0,0,0,0,0.000000
20,12834,0.000077,13732380,0,0.000000,0,0,0,0,0.000000
21,12630,0.000078,13514100,0,0.000000,0,0,0,0,0.000000
22,12428,0.000079,13297960,0,0.000000,0,0,0,0,0.000000
23,11741,0.000084,12562870,0,0.000000,0,0,0,0,0.000000
24,12035,0.000082,12877450,0,0.000000,0,0,0,0,0.000000
25,13178,0.000075,14100460,0,0.000000,0,0,0,0,0.000000
26,12790,0.000077,13685300,0,0.000000,0,0,0,0,0.000000
27,14112,0.000070,15099840,0,0.000000,0,0,0,0,0.000000
28,12699,0.000078,13587930,0,0.000000,0,0,0,0,0.000000
29,13477,0.000073,14420390,0,0.000000,0,0,0,0,0.000000
30,1,0.000044,1070,0,0.000000,0,0,0,0,0.000000

Full-Test GET Latency
Latency (<= msec),Percent
   0.000,100.000

Full-Test SET Latency
Latency (<= msec),Percent
   0.039,0.000
   0.047,5.000
   0.047,10.000
   0.047,15.000
   0.047,20.000
   0.047,25.000
   0.055,30.000
   0.055,35.000
   0.055,40.000
   0.055,45.000
   0.055,50.000
   0.055,52.500
   0.055,55.000
   0.063,57.500
   0.063,60.000
   0.063,62.500
   0.063,65.000
   0.063,67.500
   0.063,70.000
   0.063,72.500
   0.063,75.000
   0.063,76.250
   0.063,77.500
   0.063,78.750
   0.063,80.000
   0.063,81.250
   0.063,82.500
   0.063,83.750
   0.071,85.000
   0.071,86.250
   0.071,87.500
   0.071,88.125
   0.071,88.750
   0.071,89.375
   0.071,90.000
   0.071,90.625
   0.071,91.250
   0.071,91.875
   0.071,92.500
   0.079,93.125
   0.079,93.750
   0.079,94.062
   0.079,94.375
   0.079,94.688
   0.079,95.000
   0.087,95.312
   0.087,95.625
   0.095,95.938
   0.111,96.250
   0.575,96.562
   0.591,96.875
   0.599,97.031
   0.607,97.188
   0.607,97.344
   0.615,97.500
   0.615,97.656
   0.623,97.812
   0.623,97.969
   0.631,98.125
   0.639,98.281
   0.639,98.438
   0.647,98.516
   0.647,98.594
   0.655,98.672
   0.655,98.750
   0.663,98.828
   0.663,98.906
   0.671,98.984
   0.679,99.062
   0.687,99.141
   0.695,99.219
   0.703,99.258
   0.711,99.297
   0.719,99.336
   0.719,99.375
   0.727,99.414
   0.735,99.453
   0.743,99.492
   0.751,99.531
   0.751,99.570
   0.759,99.609
   0.767,99.629
   0.767,99.648
   0.775,99.668
   0.775,99.688
   0.783,99.707
   0.783,99.727
   0.791,99.746
   0.791,99.766
   0.799,99.785
   0.807,99.805
   0.807,99.814
   0.815,99.824
   0.823,99.834
   0.823,99.844
   0.831,99.854
   0.831,99.863
   0.839,99.873
   0.847,99.883
   0.855,99.893
   0.863,99.902
   0.863,99.907
   0.863,99.912
   0.871,99.917
   0.879,99.922
   0.879,99.927
   0.887,99.932
   0.895,99.937
   0.903,99.941
   0.903,99.946
   0.911,99.951
   0.919,99.954
   0.919,99.956
   0.927,99.958
   0.927,99.961
   0.935,99.963
   0.943,99.966
   0.943,99.968
   0.951,99.971
   0.959,99.973
   0.967,99.976
   0.967,99.977
   0.967,99.978
   0.975,99.979
   0.975,99.980
   0.983,99.982
   0.983,99.983
   0.991,99.984
   0.991,99.985
   0.999,99.987
   0.999,99.988
   1.007,99.988
   1.007,99.989
   1.007,99.990
   1.007,99.990
   1.015,99.991
   1.015,99.991
   1.015,99.992
   1.023,99.993
   1.023,99.993
   1.023,99.994
   1.023,99.994
   1.023,99.995
   1.031,99.995
   1.031,99.995
   1.039,99.995
   1.039,99.996
   1.039,99.996
   1.039,99.996
   1.055,99.997
   1.071,99.997
   1.071,99.997
   1.079,99.997
   1.079,99.997
   1.079,99.998
   1.119,99.998
   1.119,99.998
   1.127,99.998
   1.127,99.998
   1.159,99.998
   1.471,99.998
   1.471,99.999
   1.471,99.999
   1.471,99.999
   1.495,99.999
   1.495,99.999
   1.495,99.999
   1.511,99.999
   1.511,99.999
   1.511,99.999
   2.975,99.999
   2.975,99.999
   2.975,99.999
   2.975,99.999
   2.975,99.999
   2.975,99.999
   2.975,99.999
   3.183,100.000
   3.183,100.000
   3.183,100.000
   3.183,100.000
   3.183,100.000
   3.183,100.000
   3.183,100.000
   3.183,100.000
   3.183,100.000
   3.183,100.000
   5.311,100.000
   5.311,100.000

Full-Test WAIT Latency
Latency (<= msec),Percent
   0.000,100.000
