Per-Second Benchmark Data
Second,SET Requests,SET Average Latency,SET Total Bytes,GET Requests,GET Average Latency,GET Total Bytes,GET Misses,GET Hits,WAIT Requests,WAIT Average Latency
0,0,0.000000,0,3375,0.000295,116253,0,3375,0,0.000000
1,0,0.000000,0,2877,0.000346,99064,0,2877,0,0.000000
2,0,0.000000,0,2456,0.000406,84543,0,2456,0,0.000000
3,0,0.000000,0,2340,0.000426,80635,0,2340,0,0.000000
4,0,0.000000,0,2506,0.000398,86302,0,2506,0,0.000000
5,0,0.000000,0,2820,0.000353,97136,0,2820,0,0.000000
6,0,0.000000,0,2921,0.000341,100673,0,2921,0,0.000000
7,0,0.000000,0,2973,0.000335,102390,0,2973,0,0.000000
8,0,0.000000,0,2842,0.000351,97893,0,2842,0,0.000000
9,0,0.000000,0,2938,0.000339,101255,0,2938,0,0.000000
10,0,0.000000,0,2935,0.000340,101057,0,2935,0,0.000000
11,0,0.000000,0,2885,0.000345,99350,0,2885,0,0.000000
12,0,0.000000,0,2901,0.000344,99942,0,2901,0,0.000000
13,0,0.000000,0,3001,0.000332,103298,0,3001,0,0.000000
14,0,0.000000,0,3014,0.000331,103833,0,3014,0,0.000000
15,0,0.000000,0,3029,0.000329,104362,0,3029,0,0.000000
16,0,0.000000,0,2983,0.000334,102737,0,2983,0,0.000000
17,0,0.000000,0,2985,0.000334,102804,0,2985,0,0.000000
18,0,0.000000,0,3018,0.000330,104006,0,3018,0,0.000000
19,0,0.000000,0,3147,0.000317,108345,0,3147,0,0.000000
20,0,0.000000,0,1,0.000255,35,0,1,0,0.000000

Full-Test GET Latency
Latency (<= msec),Percent
   0.039,0.000
   0.079,5.000
   0.095,10.000
   0.103,15.000
   0.111,20.000
   0.119,25.000
   0.127,30.000
   0.135,35.000
   0.135,40.000
   0.143,45.000
   0.151,50.000
   0.151,52.500
   0.159,55.000
   0.159,57.500
   0.159,60.000
   0.167,62.500
   0.167,65.000
   0.175,67.500
   0.183,70.000
   0.191,72.500
   0.215,75.000
   0.223,76.250
   0.239,77.500
   0.255,78.750
   0.271,80.000
   0.295,81.250
   0.623,82.500
   1.119,83.750
   1.183,85.000
   1.215,86.250
   1.239,87.500
   1.247,88.125
   1.263,88.750
   1.271,89.375
   1.279,90.000
   1.287,90.625
   1.303,91.250
   1.311,91.875
   1.319,92.500
   1.335,93.125
   1.343,93.750
   1.351,94.062
   1.359,94.375
   1.359,94.688
   1.367,95.000
   1.375,95.312
   1.383,95.625
   1.391,95.938
   1.399,96.250
   1.407,96.562
   1.415,96.875
   1.423,97.031
   1.431,97.188
   1.431,97.344
   1.439,97.500
   1.447,97.656
   1.455,97.812
   1.463,97.969
   1.471,98.125
   1.479,98.281
   1.487,98.438
   1.495,98.516
   1.503,98.594
   1.511,98.672
   1.511,98.750
   1.519,98.828
   1.527,98.906
   1.535,98.984
   1.543,99.062
   1.559,99.141
   1.567,99.219
   1.567,99.258
   1.575,99.297
   1.583,99.336
   1.583,99.375
   1.591,99.414
   1.599,99.453
   1.607,99.492
   1.607,99.531
   1.615,99.570
   1.623,99.609
   1.623,99.629
   1.631,99.648
   1.631,99.668
   1.639,99.688
   1.639,99.707
   1.647,99.727
   1.655,99.746
   1.663,99.766
   1.663,99.785
   1.671,99.805
   1.671,99.814
   1.679,99.824
   1.687,99.834
   1.687,99.844
   1.687,99.854
   1.695,99.863
   1.703,99.873
   1.711,99.883
   1.719,99.893
   1.727,99.902
   1.727,99.907
   1.735,99.912
   1.735,99.917
   1.751,99.922
   1.767,99.927
   1.775,99.932
   1.791,99.937
   1.799,99.941
   1.807,99.946
   1.815,99.951
   1.823,99.954
   1.823,99.956
   1.839,99.958
   1.911,99.961
   1.927,99.963
   1.967,99.966
   2.015,99.968
   2.047,99.971
   2.079,99.973
   2.095,99.976
   2.127,99.977
   2.127,99.978
   2.127,99.979
   2.143,99.980
   2.159,99.982
   2.175,99.983
   2.175,99.984
   2.191,99.985
   2.191,99.987
   2.191,99.988
   2.207,99.988
   2.207,99.989
   2.207,99.990
   2.239,99.990
   2.239,99.991
   2.255,99.991
   2.255,99.992
   2.255,99.993
   2.351,99.993
   2.351,99.994
   2.351,99.994
   2.351,99.995
   2.351,99.995
   2.383,99.995
   2.383,99.995
   2.383,99.996
   2.383,99.996
   2.383,99.996
   2.383,99.997
   2.383,99.997
   2.383,99.997
   2.383,99.997
   2.383,99.997
   2.383,99.998
   2.383,99.998
   2.383,99.998
   2.383,99.998
   2.383,99.998
   3.455,99.998
   3.455,100.000

Full-Test SET Latency
Latency (<= msec),Percent
   0.000,100.000

Full-Test WAIT Latency
Latency (<= msec),Percent
   0.000,100.000
