ts_ns,parent_current,parent_runway_below_high,main_current,main_anon,main_file,main_pgscan_direct,main_pgsteal_direct,main_psi_some_us,main_psi_full_us,sideload_current,sideload_file,parent_high_events,parent_max_events
1787751140636873084,57516998656,54152151040,57512939520,57396793344,0,0,0,0,0,1134592,0,0,0
1787751140765664435,57525022720,54144126976,57512939520,57396793344,0,0,0,0,0,9158656,0,0,0
1787751140893101297,57527259136,54141890560,57512939520,57396793344,0,0,0,0,0,11395072,0,0,0
1787751141027738418,57527246848,54141902848,57512939520,57396793344,0,0,0,0,0,11382784,0,0,0
1787751141164065494,57527459840,54141689856,57512939520,57396793344,0,0,0,0,0,11595776,0,0,0
1787751141300011561,57527459840,54141689856,57512939520,57396793344,0,0,0,0,0,11595776,0,0,0
1787751141432386825,57527459840,54141689856,57512939520,57396793344,0,0,0,0,0,11595776,0,0,0
1787751141564344371,57527459840,54141689856,57512939520,57396793344,0,0,0,0,0,11595776,0,0,0
1787751141694044930,57527459840,54141689856,57512939520,57396793344,0,0,0,0,0,11595776,0,0,0
1787751141822086675,57527459840,54141689856,57512939520,57396793344,0,0,0,0,0,11595776,0,0,0
1787751141950378045,57527459840,54141689856,57512939520,57396793344,0,0,0,0,0,11595776,0,0,0
1787751142078005131,57527459840,54141689856,57512939520,57396793344,0,0,0,0,0,11595776,0,0,0
1787751142209148989,57527459840,54141689856,57512939520,57396793344,0,0,0,0,0,11595776,0,0,0
1787751142338744266,57527721984,54141427712,57512939520,57396793344,0,0,0,0,0,11857920,0,0,0
1787751142468274941,57527717888,54141431808,57512939520,57396793344,0,0,0,0,0,11853824,0,0,0
1787751142595030489,57527717888,54141431808,57512939520,57396793344,0,0,0,0,0,11853824,0,0,0
1787751142723237477,57527689216,54141460480,57512939520,57396793344,0,0,0,0,0,11825152,0,0,0
1787751142854571139,57527689216,54141460480,57512939520,57396793344,0,0,0,0,0,11825152,0,0,0
1787751142985010423,57527689216,54141460480,57512939520,57396793344,0,0,0,0,0,11825152,0,0,0
1787751143115196432,57527689216,54141460480,57512939520,57396838400,0,0,0,0,0,11825152,2445312,0,0
1787751143244479931,57527689216,54141460480,57512939520,57396838400,0,0,0,0,0,11825152,49238016,0,0
1787751143371885472,57862447104,53806702592,57512939520,57396838400,0,0,0,0,0,346845184,398282752,0,0
1787751143507777248,58222870528,53446279168,57512939520,57396838400,0,0,0,0,0,707006464,748900352,0,0
1787751143636582998,58563657728,53105491968,57512939520,57396838400,0,0,0,0,0,1047793664,1092177920,0,0
1787751143767313998,58910998528,52758151168,57512939520,57396838400,0,0,0,0,0,1395134464,1434013696,0,0
1787751143895193579,59249688576,52419461120,57512939520,57396838400,0,0,0,0,0,1734086656,1781223424,0,0
1787751144027446729,59599912960,52069236736,57512939520,57396838400,0,0,0,0,0,2084311040,2127253504,0,0
1787751144157866112,59945680896,51723468800,57512939520,57396838400,0,0,0,0,0,2429816832,2470793216,0,0
1787751144287192593,60280176640,51388973056,57512939520,57396838400,0,0,0,0,0,2764312576,2787725312,0,0
1787751144417186827,60624633856,51044515840,57512939520,57396838400,0,0,0,0,0,3109031936,3144241152,0,0
1787751144545335123,60965158912,50703990784,57512939520,57396838400,0,0,0,0,0,3449556992,3492106240,0,0
1787751144677247846,61316431872,50352717824,57512939520,57396838400,0,0,0,0,0,3800829952,3832762368,0,0
1787751144805191218,61654859776,50014289920,57512939520,57396838400,0,0,0,0,0,4139257856,4178268160,0,0
1787751144936112751,62003511296,49665638400,57512939520,57396838400,0,0,0,0,0,4487647232,4526133248,0,0
1787751145066895451,62351376384,49317773312,57512939520,57396838400,0,0,0,0,0,4835512320,4869541888,0,0
1787751145195570698,62692425728,48976723968,57512939520,57396838400,0,0,0,0,0,5176561664,5202333696,0,0
1787751145325157193,63027445760,48641703936,57512939520,57396838400,0,0,0,0,0,5511843840,5545742336,0,0
1787751145454389231,63369019392,48300130304,57512939520,57396838400,0,0,0,0,0,5853417472,5880500224,0,0
1787751145581390554,63705612288,47963537408,57512939520,57396838400,0,0,0,0,0,6189748224,6217355264,0,0
1787751145711452339,64051380224,47617769472,57512939520,57396838400,0,0,0,0,0,6535516160,6571905024,0,0
1787751145843092256,64400556032,47268593664,57512939520,57396838400,0,0,0,0,0,6884954112,6919507968,0,0
1787751145974611691,64748945408,46920204288,57512939520,57396838400,0,0,0,0,0,7233081344,7265669120,0,0
1787751146105999884,65097072640,46572077056,57512939520,57396838400,0,0,0,0,0,7581208576,7602917376,0,0
1787751146232468474,65421344768,46247804928,57512939520,57396838400,0,0,0,0,0,7905742848,7930335232,0,0
1787751146361233633,65763180544,45905969152,57512939520,57396838400,0,0,0,0,0,8247578624,8275447808,0,0
1787751146493343210,66113929216,45555220480,57512939520,57396838400,0,0,0,0,0,8598065152,8620298240,0,0
1787751146621411963,66453143552,45216006144,57512939520,57396838400,0,0,0,0,0,8937541632,8966721536,0,0
1787751146752309365,66799960064,44869189632,57512939520,57396838400,0,0,0,0,0,9284358144,9313669120,0,0
1787751146883418192,67147825152,44521324544,57512939520,57396838400,0,0,0,0,0,9631961088,9653538816,0,0
1787751147013320493,67492282368,44176867328,57512939520,57396838400,0,0,0,0,0,9976680448,10008350720,0,0
1787751147146831059,67845390336,43823759360,57512939520,57396838400,0,0,0,0,0,10329788416,10352414720,0,0
1787751147276603357,68180148224,43489001472,57512939520,57396838400,0,0,0,0,0,10664546304,10679177216,0,0
1787751147403093468,68515168256,43153981440,57512939520,57396838400,0,0,0,0,0,10999566336,11021406208,0,0
1787751147532703563,68857004032,42812145664,57512939520,57396838400,0,0,0,0,0,11341139968,11351838720,0,0
