Per-Second Benchmark Data
Second,SET Requests,SET Average Latency,SET Total Bytes,GET Requests,GET Average Latency,GET Total Bytes,GET Misses,GET Hits,WAIT Requests,WAIT Average Latency
0,3392,0.000293,14049664,0,0.000000,0,0,0,0,0.000000
1,3079,0.000322,12753218,0,0.000000,0,0,0,0,0.000000
2,3198,0.000311,13246116,0,0.000000,0,0,0,0,0.000000
3,2975,0.000334,12322450,0,0.000000,0,0,0,0,0.000000
4,2929,0.000339,12131918,0,0.000000,0,0,0,0,0.000000
5,3013,0.000330,12479846,0,0.000000,0,0,0,0,0.000000
6,3724,0.000267,15424808,0,0.000000,0,0,0,0,0.000000
7,3860,0.000258,15988120,0,0.000000,0,0,0,0,0.000000
8,3951,0.000251,16365042,0,0.000000,0,0,0,0,0.000000
9,3744,0.000266,15507648,0,0.000000,0,0,0,0,0.000000
10,3756,0.000265,15557352,0,0.000000,0,0,0,0,0.000000
11,3795,0.000262,15718890,0,0.000000,0,0,0,0,0.000000
12,3795,0.000262,15718890,0,0.000000,0,0,0,0,0.000000
13,3689,0.000269,15279838,0,0.000000,0,0,0,0,0.000000
14,3933,0.000252,16290486,0,0.000000,0,0,0,0,0.000000
15,3958,0.000251,16394036,0,0.000000,0,0,0,0,0.000000
16,3911,0.000254,16199362,0,0.000000,0,0,0,0,0.000000
17,3840,0.000259,15905280,0,0.000000,0,0,0,0,0.000000
18,3855,0.000258,15967410,0,0.000000,0,0,0,0,0.000000
19,4035,0.000246,16712970,0,0.000000,0,0,0,0,0.000000
20,3787,0.000263,15685754,0,0.000000,0,0,0,0,0.000000
21,1,0.001278,4142,0,0.000000,0,0,0,0,0.000000

Full-Test GET Latency
Latency (<= msec),Percent
   0.000,100.000

Full-Test SET Latency
Latency (<= msec),Percent
   0.047,0.000
   0.079,5.000
   0.079,10.000
   0.087,15.000
   0.087,20.000
   0.087,25.000
   0.087,30.000
   0.095,35.000
   0.095,40.000
   0.095,45.000
   0.103,50.000
   0.103,52.500
   0.103,55.000
   0.103,57.500
   0.111,60.000
   0.111,62.500
   0.119,65.000
   0.119,67.500
   0.127,70.000
   0.143,72.500
   0.151,75.000
   0.151,76.250
   0.159,77.500
   0.159,78.750
   0.167,80.000
   0.175,81.250
   0.183,82.500
   0.207,83.750
   0.295,85.000
   0.799,86.250
   1.175,87.500
   1.207,88.125
   1.231,88.750
   1.247,89.375
   1.263,90.000
   1.271,90.625
   1.287,91.250
   1.295,91.875
   1.311,92.500
   1.319,93.125
   1.327,93.750
   1.335,94.062
   1.343,94.375
   1.343,94.688
   1.351,95.000
   1.359,95.312
   1.367,95.625
   1.375,95.938
   1.383,96.250
   1.391,96.562
   1.399,96.875
   1.407,97.031
   1.415,97.188
   1.415,97.344
   1.423,97.500
   1.431,97.656
   1.439,97.812
   1.447,97.969
   1.455,98.125
   1.471,98.281
   1.479,98.438
   1.487,98.516
   1.495,98.594
   1.503,98.672
   1.503,98.750
   1.519,98.828
   1.527,98.906
   1.535,98.984
   1.543,99.062
   1.551,99.141
   1.559,99.219
   1.567,99.258
   1.567,99.297
   1.575,99.336
   1.583,99.375
   1.591,99.414
   1.591,99.453
   1.599,99.492
   1.607,99.531
   1.615,99.570
   1.615,99.609
   1.623,99.629
   1.631,99.648
   1.631,99.668
   1.639,99.688
   1.639,99.707
   1.647,99.727
   1.647,99.746
   1.655,99.766
   1.663,99.785
   1.671,99.805
   1.671,99.814
   1.679,99.824
   1.679,99.834
   1.679,99.844
   1.687,99.854
   1.695,99.863
   1.703,99.873
   1.703,99.883
   1.711,99.893
   1.719,99.902
   1.727,99.907
   1.735,99.912
   1.735,99.917
   1.735,99.922
   1.743,99.927
   1.743,99.932
   1.743,99.937
   1.751,99.941
   1.759,99.946
   1.791,99.951
   1.791,99.954
   1.807,99.956
   1.807,99.958
   1.823,99.961
   1.823,99.963
   1.831,99.966
   1.831,99.968
   1.839,99.971
   1.855,99.973
   1.871,99.976
   1.895,99.977
   1.895,99.978
   1.903,99.979
   1.935,99.980
   1.999,99.982
   1.999,99.983
   2.023,99.984
   2.095,99.985
   2.095,99.987
   2.143,99.988
   2.143,99.988
   2.143,99.989
   2.175,99.990
   2.175,99.990
   2.223,99.991
   2.223,99.991
   2.223,99.992
   2.271,99.993
   2.271,99.993
   2.303,99.994
   2.303,99.994
   2.303,99.995
   2.415,99.995
   2.415,99.995
   2.415,99.995
   2.415,99.996
   2.415,99.996
   2.847,99.996
   2.847,99.997
   2.847,99.997
   2.847,99.997
   2.847,99.997
   3.375,99.997
   3.375,99.998
   3.375,99.998
   3.375,99.998
   3.375,99.998
   3.375,99.998
   3.375,99.998
   3.375,99.998
   3.375,99.999
   3.375,99.999
   4.255,99.999
   4.255,100.000

Full-Test WAIT Latency
Latency (<= msec),Percent
   0.000,100.000
