Per-Second Benchmark Data
Second,SET Requests,SET Average Latency,SET Total Bytes,GET Requests,GET Average Latency,GET Total Bytes,GET Misses,GET Hits,WAIT Requests,WAIT Average Latency
0,0,0.000000,0,8323,0.000119,286654,1,8322,0,0.000000
1,0,0.000000,0,9693,0.000102,333849,0,9693,0,0.000000
2,0,0.000000,0,10413,0.000095,358628,0,10413,0,0.000000
3,0,0.000000,0,10191,0.000097,351080,0,10191,0,0.000000
4,0,0.000000,0,10111,0.000098,348197,0,10111,0,0.000000
5,0,0.000000,0,10250,0.000097,353085,0,10250,0,0.000000
6,0,0.000000,0,10215,0.000097,351752,0,10215,0,0.000000
7,0,0.000000,0,10520,0.000094,362288,0,10520,0,0.000000
8,0,0.000000,0,10748,0.000092,370211,0,10748,0,0.000000
9,0,0.000000,0,10681,0.000093,367944,0,10681,0,0.000000
10,0,0.000000,0,10606,0.000094,365193,0,10606,0,0.000000
11,0,0.000000,0,10444,0.000095,359708,0,10444,0,0.000000
12,0,0.000000,0,10509,0.000094,361883,0,10509,0,0.000000
13,0,0.000000,0,10372,0.000096,357194,0,10372,0,0.000000
14,0,0.000000,0,10384,0.000095,357690,0,10384,0,0.000000
15,0,0.000000,0,10225,0.000097,352284,0,10225,0,0.000000
16,0,0.000000,0,10452,0.000095,360045,0,10452,0,0.000000
17,0,0.000000,0,10252,0.000097,353140,0,10252,0,0.000000
18,0,0.000000,0,10251,0.000097,353169,0,10251,0,0.000000
19,0,0.000000,0,10868,0.000091,374321,0,10868,0,0.000000
20,0,0.000000,0,1,0.000624,34,0,1,0,0.000000

Full-Test GET Latency
Latency (<= msec),Percent
   0.031,0.000
   0.047,5.000
   0.055,10.000
   0.063,15.000
   0.063,20.000
   0.071,25.000
   0.071,30.000
   0.079,35.000
   0.079,40.000
   0.079,45.000
   0.079,50.000
   0.079,52.500
   0.087,55.000
   0.087,57.500
   0.087,60.000
   0.087,62.500
   0.087,65.000
   0.087,67.500
   0.087,70.000
   0.087,72.500
   0.087,75.000
   0.087,76.250
   0.087,77.500
   0.095,78.750
   0.095,80.000
   0.095,81.250
   0.095,82.500
   0.095,83.750
   0.095,85.000
   0.095,86.250
   0.095,87.500
   0.095,88.125
   0.095,88.750
   0.095,89.375
   0.095,90.000
   0.095,90.625
   0.103,91.250
   0.103,91.875
   0.103,92.500
   0.103,93.125
   0.103,93.750
   0.103,94.062
   0.103,94.375
   0.111,94.688
   0.111,95.000
   0.111,95.312
   0.135,95.625
   0.511,95.938
   0.527,96.250
   0.535,96.562
   0.543,96.875
   0.543,97.031
   0.551,97.188
   0.551,97.344
   0.551,97.500
   0.559,97.656
   0.559,97.812
   0.559,97.969
   0.567,98.125
   0.567,98.281
   0.575,98.438
   0.575,98.516
   0.575,98.594
   0.575,98.672
   0.583,98.750
   0.583,98.828
   0.583,98.906
   0.583,98.984
   0.591,99.062
   0.591,99.141
   0.591,99.219
   0.599,99.258
   0.599,99.297
   0.599,99.336
   0.599,99.375
   0.607,99.414
   0.607,99.453
   0.607,99.492
   0.615,99.531
   0.615,99.570
   0.623,99.609
   0.623,99.629
   0.631,99.648
   0.631,99.668
   0.639,99.688
   0.647,99.707
   0.655,99.727
   0.687,99.746
   0.767,99.766
   0.863,99.785
   0.887,99.805
   0.903,99.814
   0.911,99.824
   0.927,99.834
   0.943,99.844
   0.959,99.854
   1.007,99.863
   1.039,99.873
   1.063,99.883
   1.079,99.893
   1.087,99.902
   1.095,99.907
   1.103,99.912
   1.103,99.917
   1.111,99.922
   1.111,99.927
   1.119,99.932
   1.119,99.937
   1.127,99.941
   1.135,99.946
   1.135,99.951
   1.143,99.954
   1.143,99.956
   1.143,99.958
   1.151,99.961
   1.151,99.963
   1.151,99.966
   1.151,99.968
   1.151,99.971
   1.159,99.973
   1.159,99.976
   1.159,99.977
   1.167,99.978
   1.167,99.979
   1.167,99.980
   1.175,99.982
   1.175,99.983
   1.183,99.984
   1.199,99.985
   1.207,99.987
   1.207,99.988
   1.215,99.988
   1.223,99.989
   1.231,99.990
   1.247,99.990
   1.271,99.991
   1.303,99.991
   1.351,99.992
   1.375,99.993
   1.423,99.993
   1.471,99.994
   1.487,99.994
   1.487,99.995
   1.503,99.995
   1.503,99.995
   1.535,99.995
   1.551,99.996
   1.551,99.996
   1.879,99.996
   2.175,99.997
   2.175,99.997
   2.351,99.997
   2.351,99.997
   2.351,99.997
   2.351,99.998
   2.575,99.998
   2.575,99.998
   2.575,99.998
   2.575,99.998
   2.575,99.998
   2.575,99.998
   3.359,99.999
   3.359,99.999
   3.359,99.999
   3.359,99.999
   3.359,99.999
   3.359,99.999
   3.359,99.999
   3.423,99.999
   3.423,99.999
   3.423,99.999
   3.423,99.999
   3.423,99.999
   3.423,99.999
   3.423,99.999
   3.423,99.999
   3.423,99.999
   3.423,100.000
   3.663,100.000
   3.663,100.000

Full-Test SET Latency
Latency (<= msec),Percent
   0.000,100.000

Full-Test WAIT Latency
Latency (<= msec),Percent
   0.000,100.000
