ts_ns,parent_current,parent_runway_below_high,main_current,main_anon,main_file,main_pgscan_direct,main_pgsteal_direct,main_psi_some_us,main_psi_full_us,sideload_current,sideload_file,parent_high_events,parent_max_events
1787752349860195503,57517064192,54152085504,57513025536,57396793344,0,0,0,0,0,1114112,0,0,0
1787752349989406899,57525063680,54144086016,57513025536,57396793344,0,0,0,0,0,9113600,0,0,0
1787752350121194705,57527009280,54142140416,57513025536,57396793344,0,0,0,0,0,11059200,0,0,0
1787752350248936373,57527009280,54142140416,57513025536,57396793344,0,0,0,0,0,11059200,0,0,0
1787752350377896814,57527234560,54141915136,57513025536,57396793344,0,0,0,0,0,11284480,0,0,0
1787752350507229703,57527234560,54141915136,57513025536,57396793344,0,0,0,0,0,11284480,0,0,0
1787752350633727796,57527234560,54141915136,57513025536,57396793344,0,0,0,0,0,11284480,0,0,0
1787752350760252570,57527234560,54141915136,57513025536,57396793344,0,0,0,0,0,11284480,0,0,0
1787752350887269594,57527234560,54141915136,57513025536,57396793344,0,0,0,0,0,11284480,0,0,0
1787752351012439492,57527234560,54141915136,57513025536,57396793344,0,0,0,0,0,11284480,0,0,0
1787752351140897203,57527234560,54141915136,57513025536,57396793344,0,0,0,0,0,11284480,0,0,0
1787752351271610039,57527496704,54141652992,57513025536,57396793344,0,0,0,0,0,11546624,0,0,0
1787752351398083812,57527496704,54141652992,57513025536,57396793344,0,0,0,0,0,11546624,0,0,0
1787752351525953962,57527496704,54141652992,57513025536,57396793344,0,0,0,0,0,11546624,0,0,0
1787752351653033047,57527496704,54141652992,57513025536,57396793344,0,0,0,0,0,11546624,0,0,0
1787752351784918115,57527496704,54141652992,57513025536,57396793344,0,0,0,0,0,11546624,0,0,0
1787752351917217181,57527496704,54141652992,57513025536,57396838400,0,0,0,0,0,11546624,2662400,0,0
1787752352046888216,57527422976,54141726720,57513025536,57396838400,0,0,0,0,0,11472896,2662400,0,0
1787752352180438067,57527422976,54141726720,57513025536,57396838400,0,0,0,0,0,11472896,2662400,0,0
1787752352312179132,57527422976,54141726720,57513025536,57396838400,0,0,0,0,0,11472896,2662400,0,0
1787752352443086501,57527422976,54141726720,57513025536,57396838400,0,0,0,0,0,11472896,2662400,0,0
1787752352574271415,57527422976,54141726720,57513025536,57396838400,0,0,0,0,0,11472896,2662400,0,0
1787752352704533362,57527422976,54141726720,57513025536,57396838400,0,0,0,0,0,11472896,2662400,0,0
1787752352832285550,57698054144,53971095552,57513025536,57396838400,0,0,0,0,0,182104064,224698368,0,0
1787752352961817402,58040676352,53628473344,57513025536,57396838400,0,0,0,0,0,524726272,564961280,0,0
1787752353088817495,58376732672,53292417024,57513025536,57396838400,0,0,0,0,0,860782592,906797056,0,0
1787752353219187494,58711752704,52957396992,57513025536,57396838400,0,0,0,0,0,1196064768,1236180992,0,0
1787752353346974192,59050180608,52618969088,57513025536,57396838400,0,0,0,0,0,1534230528,1570283520,0,0
1787752353473168490,59384152064,52284997632,57513025536,57396838400,0,0,0,0,0,1868201984,1914609664,0,0
1787752353604405515,59730968576,51938181120,57513025536,57396838400,0,0,0,0,0,2215280640,2254872576,0,0
1787752353733130672,60072804352,51596345344,57513025536,57396838400,0,0,0,0,0,2556854272,2602082304,0,0
1787752353864150233,60421193728,51247955968,57513025536,57396838400,0,0,0,0,0,2905243648,2941165568,0,0
1787752353991687077,60760670208,50908479488,57513025536,57396838400,0,0,0,0,0,3244720128,3283132416,0,0
1787752354120698479,61103288320,50565861376,57513025536,57396838400,0,0,0,0,0,3587600384,3623133184,0,0
1787752354249564909,61435162624,50233987072,57513025536,57396838400,0,0,0,0,0,3919212544,3957235712,0,0
1787752354380614600,61784862720,49884286976,57513025536,57396838400,0,0,0,0,0,4268912640,4336164864,0,0
