Per-Second Benchmark Data
Second,SET Requests,SET Average Latency,SET Total Bytes,GET Requests,GET Average Latency,GET Total Bytes,GET Misses,GET Hits,WAIT Requests,WAIT Average Latency
0,7844,0.000126,32457365,0,0.000000,0,0,0,0,0.000000
1,12115,0.000081,50141830,0,0.000000,0,0,0,0,0.000000
2,11824,0.000083,48939536,0,0.000000,0,0,0,0,0.000000
3,12196,0.000081,50479244,0,0.000000,0,0,0,0,0.000000
4,12746,0.000077,52755694,0,0.000000,0,0,0,0,0.000000
5,13180,0.000075,54552020,0,0.000000,0,0,0,0,0.000000
6,12677,0.000078,52470103,0,0.000000,0,0,0,0,0.000000
7,13260,0.000074,54883140,0,0.000000,0,0,0,0,0.000000
8,13258,0.000074,54883963,0,0.000000,0,0,0,0,0.000000
9,13156,0.000075,54465840,0,0.000000,0,0,0,0,0.000000
10,12572,0.000078,52048080,0,0.000000,0,0,0,0,0.000000
11,13321,0.000074,55148940,0,0.000000,0,0,0,0,0.000000
12,12627,0.000078,52275780,0,0.000000,0,0,0,0,0.000000
13,13234,0.000074,54788760,0,0.000000,0,0,0,0,0.000000
14,14574,0.000068,60336360,0,0.000000,0,0,0,0,0.000000
15,14886,0.000066,61628040,0,0.000000,0,0,0,0,0.000000
16,13885,0.000071,57483900,0,0.000000,0,0,0,0,0.000000
17,12671,0.000078,52457940,0,0.000000,0,0,0,0,0.000000
18,13331,0.000074,55190340,0,0.000000,0,0,0,0,0.000000
19,13290,0.000074,55020600,0,0.000000,0,0,0,0,0.000000
20,13146,0.000075,54424440,0,0.000000,0,0,0,0,0.000000
21,1,0.000059,4140,0,0.000000,0,0,0,0,0.000000

Full-Test GET Latency
Latency (<= msec),Percent
   0.000,100.000

Full-Test SET Latency
Latency (<= msec),Percent
   0.039,0.000
   0.047,5.000
   0.055,10.000
   0.055,15.000
   0.055,20.000
   0.055,25.000
   0.055,30.000
   0.055,35.000
   0.063,40.000
   0.063,45.000
   0.063,50.000
   0.063,52.500
   0.063,55.000
   0.063,57.500
   0.063,60.000
   0.063,62.500
   0.063,65.000
   0.063,67.500
   0.063,70.000
   0.063,72.500
   0.063,75.000
   0.063,76.250
   0.071,77.500
   0.071,78.750
   0.071,80.000
   0.071,81.250
   0.071,82.500
   0.071,83.750
   0.071,85.000
   0.071,86.250
   0.071,87.500
   0.071,88.125
   0.071,88.750
   0.071,89.375
   0.079,90.000
   0.079,90.625
   0.079,91.250
   0.079,91.875
   0.079,92.500
   0.079,93.125
   0.087,93.750
   0.087,94.062
   0.087,94.375
   0.087,94.688
   0.095,95.000
   0.095,95.312
   0.095,95.625
   0.103,95.938
   0.111,96.250
   0.127,96.562
   0.543,96.875
   0.543,97.031
   0.551,97.188
   0.551,97.344
   0.551,97.500
   0.559,97.656
   0.559,97.812
   0.559,97.969
   0.559,98.125
   0.567,98.281
   0.567,98.438
   0.567,98.516
   0.567,98.594
   0.567,98.672
   0.575,98.750
   0.575,98.828
   0.575,98.906
   0.575,98.984
   0.583,99.062
   0.583,99.141
   0.583,99.219
   0.583,99.258
   0.591,99.297
   0.591,99.336
   0.591,99.375
   0.591,99.414
   0.599,99.453
   0.599,99.492
   0.599,99.531
   0.607,99.570
   0.607,99.609
   0.607,99.629
   0.615,99.648
   0.615,99.668
   0.623,99.688
   0.623,99.707
   0.639,99.727
   0.655,99.746
   0.687,99.766
   0.791,99.785
   0.879,99.805
   0.887,99.814
   0.887,99.824
   0.895,99.834
   0.903,99.844
   0.911,99.854
   0.911,99.863
   0.919,99.873
   0.935,99.883
   0.991,99.893
   1.087,99.902
   1.095,99.907
   1.103,99.912
   1.119,99.917
   1.119,99.922
   1.119,99.927
   1.127,99.932
   1.127,99.937
   1.135,99.941
   1.143,99.946
   1.143,99.951
   1.151,99.954
   1.151,99.956
   1.159,99.958
   1.159,99.961
   1.159,99.963
   1.167,99.966
   1.167,99.968
   1.175,99.971
   1.175,99.973
   1.183,99.976
   1.183,99.977
   1.191,99.978
   1.191,99.979
   1.191,99.980
   1.199,99.982
   1.199,99.983
   1.207,99.984
   1.215,99.985
   1.223,99.987
   1.239,99.988
   1.247,99.988
   1.255,99.989
   1.255,99.990
   1.263,99.990
   1.263,99.991
   1.279,99.991
   1.287,99.992
   1.311,99.993
   1.311,99.993
   1.319,99.994
   1.319,99.994
   1.327,99.995
   1.391,99.995
   1.391,99.995
   1.423,99.995
   1.447,99.996
   1.479,99.996
   1.639,99.996
   1.639,99.997
   1.855,99.997
   1.951,99.997
   1.951,99.997
   2.335,99.997
   2.335,99.998
   2.335,99.998
   2.383,99.998
   2.383,99.998
   2.463,99.998
   2.463,99.998
   2.463,99.998
   2.591,99.999
   2.591,99.999
   2.591,99.999
   2.591,99.999
   2.591,99.999
   2.703,99.999
   2.703,99.999
   2.703,99.999
   2.703,99.999
   2.703,99.999
   3.055,99.999
   3.055,99.999
   3.055,99.999
   3.055,99.999
   3.055,99.999
   3.055,99.999
   3.055,100.000
   3.055,100.000
   3.055,100.000
   3.055,100.000
   3.503,100.000
   3.503,100.000

Full-Test WAIT Latency
Latency (<= msec),Percent
   0.000,100.000
