Per-Second Benchmark Data
Second,SET Requests,SET Average Latency,SET Total Bytes,GET Requests,GET Average Latency,GET Total Bytes,GET Misses,GET Hits,WAIT Requests,WAIT Average Latency
0,0,0.000000,0,8104,0.000123,279213,0,8104,0,0.000000
1,0,0.000000,0,7196,0.000138,247909,0,7196,0,0.000000
2,0,0.000000,0,7954,0.000125,273953,0,7954,0,0.000000
3,0,0.000000,0,7779,0.000128,267944,0,7779,0,0.000000
4,0,0.000000,0,8009,0.000124,275897,0,8009,0,0.000000
5,0,0.000000,0,6343,0.000157,218520,0,6343,0,0.000000
6,0,0.000000,0,6383,0.000156,219909,0,6383,0,0.000000
7,0,0.000000,0,7483,0.000133,257689,0,7483,0,0.000000
8,0,0.000000,0,7697,0.000129,265115,0,7697,0,0.000000
9,0,0.000000,0,8119,0.000122,279658,0,8119,0,0.000000
10,0,0.000000,0,8265,0.000120,284729,0,8265,0,0.000000
11,0,0.000000,0,8144,0.000122,280463,0,8144,0,0.000000
12,0,0.000000,0,8064,0.000123,277730,0,8064,0,0.000000
13,0,0.000000,0,6717,0.000148,231314,0,6717,0,0.000000
14,0,0.000000,0,6416,0.000155,220934,0,6416,0,0.000000
15,0,0.000000,0,6265,0.000159,215767,0,6265,0,0.000000
16,0,0.000000,0,6470,0.000154,222893,0,6470,0,0.000000
17,0,0.000000,0,6281,0.000158,216309,0,6281,0,0.000000
18,0,0.000000,0,7121,0.000140,245163,0,7121,0,0.000000
19,0,0.000000,0,6817,0.000146,234859,0,6817,0,0.000000
20,0,0.000000,0,1,0.000402,35,0,1,0,0.000000

Full-Test GET Latency
Latency (<= msec),Percent
   0.031,0.000
   0.055,5.000
   0.063,10.000
   0.071,15.000
   0.071,20.000
   0.079,25.000
   0.079,30.000
   0.079,35.000
   0.079,40.000
   0.079,45.000
   0.087,50.000
   0.087,52.500
   0.087,55.000
   0.087,57.500
   0.087,60.000
   0.087,62.500
   0.087,65.000
   0.087,67.500
   0.095,70.000
   0.095,72.500
   0.095,75.000
   0.095,76.250
   0.095,77.500
   0.095,78.750
   0.095,80.000
   0.095,81.250
   0.095,82.500
   0.103,83.750
   0.103,85.000
   0.103,86.250
   0.103,87.500
   0.103,88.125
   0.103,88.750
   0.111,89.375
   0.111,90.000
   0.111,90.625
   0.111,91.250
   0.119,91.875
   0.127,92.500
   0.551,93.125
   0.591,93.750
   0.599,94.062
   0.623,94.375
   0.639,94.688
   0.655,95.000
   0.679,95.312
   0.695,95.625
   0.719,95.938
   0.751,96.250
   0.903,96.562
   1.007,96.875
   1.095,97.031
   1.111,97.188
   1.119,97.344
   1.127,97.500
   1.143,97.656
   1.151,97.812
   1.151,97.969
   1.159,98.125
   1.167,98.281
   1.175,98.438
   1.175,98.516
   1.183,98.594
   1.183,98.672
   1.191,98.750
   1.191,98.828
   1.199,98.906
   1.199,98.984
   1.207,99.062
   1.207,99.141
   1.215,99.219
   1.215,99.258
   1.215,99.297
   1.223,99.336
   1.223,99.375
   1.223,99.414
   1.231,99.453
   1.231,99.492
   1.231,99.531
   1.231,99.570
   1.239,99.609
   1.239,99.629
   1.247,99.648
   1.247,99.668
   1.247,99.688
   1.247,99.707
   1.255,99.727
   1.255,99.746
   1.255,99.766
   1.263,99.785
   1.263,99.805
   1.271,99.814
   1.271,99.824
   1.271,99.834
   1.271,99.844
   1.279,99.854
   1.279,99.863
   1.279,99.873
   1.287,99.883
   1.287,99.893
   1.287,99.902
   1.295,99.907
   1.295,99.912
   1.295,99.917
   1.303,99.922
   1.303,99.927
   1.303,99.932
   1.311,99.937
   1.311,99.941
   1.319,99.946
   1.327,99.951
   1.327,99.954
   1.327,99.956
   1.335,99.958
   1.335,99.961
   1.343,99.963
   1.343,99.966
   1.351,99.968
   1.359,99.971
   1.359,99.973
   1.367,99.976
   1.367,99.977
   1.375,99.978
   1.375,99.979
   1.383,99.980
   1.383,99.982
   1.391,99.983
   1.399,99.984
   1.415,99.985
   1.439,99.987
   1.455,99.988
   1.455,99.988
   1.463,99.989
   1.463,99.990
   1.471,99.990
   1.471,99.991
   1.479,99.991
   1.511,99.992
   1.543,99.993
   1.543,99.993
   1.559,99.994
   1.559,99.994
   1.599,99.995
   1.599,99.995
   1.599,99.995
   1.663,99.995
   1.663,99.996
   2.463,99.996
   2.463,99.996
   2.655,99.997
   2.655,99.997
   2.655,99.997
   2.847,99.997
   2.847,99.997
   2.847,99.998
   2.847,99.998
   2.847,99.998
   3.199,99.998
   3.199,99.998
   3.199,99.998
   3.199,99.998
   3.199,99.999
   4.223,99.999
   4.223,99.999
   4.223,99.999
   4.223,99.999
   4.223,99.999
   4.223,99.999
   4.223,99.999
   4.223,99.999
   4.223,99.999
   4.223,99.999
   6.271,99.999
   6.271,100.000

Full-Test SET Latency
Latency (<= msec),Percent
   0.000,100.000

Full-Test WAIT Latency
Latency (<= msec),Percent
   0.000,100.000
