ts_ns,parent_current,parent_runway_below_high,main_current,main_anon,main_file,main_pgscan_direct,main_pgsteal_direct,main_psi_some_us,main_psi_full_us,sideload_current,sideload_file,parent_high_events,parent_max_events
1787752047007496849,57517662208,54151487488,57513390080,57396797440,0,0,0,0,0,1347584,0,0,0
1787752047139460702,57526050816,54143098880,57513390080,57396797440,0,0,0,0,0,9736192,0,0,0
1787752047267898316,57528274944,54140874752,57513390080,57396797440,0,0,0,0,0,11960320,0,0,0
1787752047395423502,57528262656,54140887040,57513390080,57396842496,0,0,0,0,0,11948032,3248128,0,0
1787752047521454889,57528242176,54140907520,57513390080,57396842496,0,0,0,0,0,11927552,3248128,0,0
1787752047648169199,57528242176,54140907520,57513390080,57396842496,0,0,0,0,0,11927552,3248128,0,0
1787752047775024522,57528242176,54140907520,57513390080,57396842496,0,0,0,0,0,11927552,3248128,0,0
1787752047900398847,57528242176,54140907520,57513390080,57396842496,0,0,0,0,0,11927552,3248128,0,0
1787752048027877612,57528242176,54140907520,57513390080,57396842496,0,0,0,0,0,11927552,3248128,0,0
1787752048156029610,57528242176,54140907520,57513390080,57396842496,0,0,0,0,0,11927552,3248128,0,0
1787752048282008436,57528242176,54140907520,57513390080,57396842496,0,0,0,0,0,11927552,3248128,0,0
1787752048413025571,57528242176,54140907520,57513390080,57396842496,0,0,0,0,0,11927552,3248128,0,0
1787752048543464853,57528242176,54140907520,57513390080,57396842496,0,0,0,0,0,11927552,3248128,0,0
1787752048672990859,57528242176,54140907520,57513390080,57396842496,0,0,0,0,0,11927552,3248128,0,0
1787752048802457282,57528242176,54140907520,57513390080,57396842496,0,0,0,0,0,11927552,3248128,0,0
1787752048931400356,57528242176,54140907520,57513390080,57396842496,0,0,0,0,0,11927552,3248128,0,0
1787752049058972723,57528242176,54140907520,57513390080,57396842496,0,0,0,0,0,11927552,3248128,0,0
1787752049186084041,57528242176,54140907520,57513390080,57396842496,0,0,0,0,0,11927552,3248128,0,0
1787752049314045176,57528242176,54140907520,57513390080,57396842496,0,0,0,0,0,11927552,3248128,0,0
1787752049445816845,57528242176,54140907520,57513390080,57396842496,0,0,0,0,0,11927552,3248128,0,0
1787752049576320279,57528242176,54140907520,57513390080,57396842496,0,0,0,0,0,11927552,3248128,0,0
1787752049706704841,57528242176,54140907520,57513390080,57396842496,0,0,0,0,0,11927552,3248128,0,0
1787752049836154014,57683660800,53985488896,57513390080,57396842496,0,0,0,0,0,167346176,209031168,0,0
1787752049964061818,58023137280,53646012416,57513390080,57396842496,0,0,0,0,0,507084800,547459072,0,0
1787752050091541113,58360778752,53308370944,57513390080,57396842496,0,0,0,0,0,844726272,885231616,0,0
1787752050219189951,58690293760,52978855936,57513390080,57396842496,0,0,0,0,0,1173979136,1216843776,0,0
1787752050348297058,59031605248,52637544448,57513390080,57396842496,0,0,0,0,0,1515552768,1550815232,0,0
1787752050473854606,59364003840,52305145856,57513390080,57396842496,0,0,0,0,0,1847689216,1897107456,0,0
1787752050606105264,59714490368,51954659328,57513390080,57396842496,0,0,0,0,0,2198175744,2232913920,0,0
