ts_ns,current_before,target_current,requested,current_after,rc
1787749234363898549,77319925760,77309411328,10514432,77311406080,0
1787749234393476595,77380349952,77309411328,70938624,77316124672,0
1787749234423676752,77387427840,77309411328,78016512,77311930368,0
1787749234452400892,77382184960,77309411328,72773632,77311143936,0
1787749234480646723,77380612096,77309411328,71200768,77313765376,0
1787749234509152959,77381922816,77309411328,72511488,77310881792,0
1787749234538385988,77380874240,77309411328,71462912,77314551808,0
1787749234566995436,77385592832,77309411328,76181504,77314027520,0
1787749234595540073,77383495680,77309411328,74084352,77312192512,0
1787749234623596071,77381398528,77309411328,71987200,77314551808,0
1787749234652192538,77383233536,77309411328,73822208,77311406080,0
1787749234681241624,77382447104,77309411328,73035776,77310619648,0
1787749234709521326,77380874240,77309411328,71462912,77314027520,0
1787749234737840559,77383495680,77309411328,74084352,77311668224,0
1787749234765621161,77380349952,77309411328,70938624,77313241088,0
1787749234794616646,77382447104,77309411328,73035776,77310881792,0
1787749234823164323,77381660672,77309411328,72249344,77314813952,0
1787749234851591667,77384806400,77309411328,75395072,77313241088,0
1787749234879843789,77382447104,77309411328,73035776,77310881792,0
1787749234908416086,77379301376,77309411328,69890048,77312716800,0
1787749234937379310,77383233536,77309411328,73822208,77311668224,0
1787749234965697103,77381660672,77309411328,72249344,77314813952,0
1787749234994005425,77384282112,77309411328,74870784,77312454656,0
1787749235022242816,77380612096,77309411328,71200768,77313503232,0
1787749235051547067,77385326592,77309411328,75915264,77313236992,0
1787749235080592083,77384802304,77309411328,75390976,77312712704,0
1787749235108681111,77382443008,77309411328,73031680,77310091264,0
1787749235136714998,77378510848,77309411328,69099520,77311664128,0
1787749235165084702,77380345856,77309411328,70934528,77313499136,0
1787749235193982265,77380345856,77309411328,70934528,77313499136,0
1787749235221587684,77373792256,77309411328,64380928,77311664128,0
1787749235249342376,77379821568,77309411328,70410240,77312188416,0
1787749235277049458,77378510848,77309411328,69099520,77311401984,0
1787749235305141516,77377986560,77309411328,68575232,77311139840,0
1787749235333812445,77380870144,77309411328,71458816,77313761280,0
1787749235362333971,77382438912,77309411328,73027584,77310873600,0
1787749235390688744,77380341760,77309411328,70930432,77313757184,0
1787749235419041988,77379817472,77309411328,70406144,77312970752,0
1787749235447944771,77382434816,77309411328,73023488,77310607360,0
1787749235476775693,77381648384,77309411328,72237056,77314801664,0
1787749235505043874,77384794112,77309411328,75382784,77312704512,0
1787749235532881158,77380861952,77309411328,71450624,77314015232,0
1787749235561721560,77383221248,77309411328,73809920,77311655936,0
1787749235591208984,77382692864,77309411328,73281536,77311389696,0
1787749235619661719,77382168576,77309411328,72757248,77310341120,0
1787749235647849479,77380071424,77309411328,70660096,77311389696,0
1787749235675895827,77379547136,77309411328,70135808,77312438272,0
1787749235704156838,77380857856,77309411328,71446528,77314011136,0
1787749235733070412,77385052160,77309411328,75640832,77313486848,0
1787749235761577808,77383217152,77309411328,73805824,77311651840,0
1787749235789674866,77381120000,77309411328,71708672,77314011136,0
1787749235817567891,77380333568,77309411328,70922240,77313748992,0
1787749235846485214,77383479296,77309411328,74067968,77311913984,0
1787749235875464179,77383479296,77309411328,74067968,77311913984,0
1787749235903932844,77381644288,77309411328,72232960,77315059712,0
1787749235932276347,77383217152,77309411328,73805824,77311389696,0
