ts_ns,parent_current,parent_runway_below_high,main_current,main_anon,main_file,main_pgscan_direct,main_pgsteal_direct,main_psi_some_us,main_psi_full_us,sideload_current,sideload_file,parent_high_events,parent_max_events
1787749349442866533,57518940160,36970340352,57514094592,57396793344,0,0,0,0,0,1921024,0,0,0
1787749349576748183,57525968896,36963311616,57514094592,57396793344,0,0,0,0,0,8949760,0,0,0
1787749349707109958,57528180736,36961099776,57514094592,57396793344,0,0,0,0,0,11161600,0,0,0
1787749349836442203,57528180736,36961099776,57514094592,57396793344,0,0,0,0,0,11161600,0,0,0
1787749349964028587,57528414208,36960866304,57514094592,57396793344,0,0,0,0,0,11395072,39284736,0,0
1787749350095621505,57856339968,36632940544,57514094592,57396793344,0,0,0,0,0,339320832,392523776,0,0
1787749350229565456,58201321472,36287959040,57514094592,57396793344,0,0,0,0,0,684302336,750743552,0,0
1787749350368799514,58569592832,35919687680,57514094592,57396838400,0,0,0,0,0,1052573696,1108701184,0,0
1787749350504740352,58928205824,35561074688,57514094592,57396838400,0,0,0,0,0,1411448832,1458925568,0,0
1787749350636281139,59277119488,35212161024,57514094592,57396838400,0,0,0,0,0,1760362496,1802596352,0,0
1787749350766820827,59623399424,34865881088,57514094592,57396838400,0,0,0,0,0,2106380288,2151903232,0,0
1787749350898411615,59973099520,34516180992,57514094592,57396838400,0,0,0,0,0,2456080384,2494918656,0,0
1787749351027711150,60313624576,34175655936,57514094592,57396838400,0,0,0,0,0,2796605440,2832560128,0,0
1787749351156256251,60653101056,33836179456,57514094592,57396838400,0,0,0,0,0,3136081920,3174789120,0,0
1787749351286040116,60989693952,33499586560,57514094592,57396838400,0,0,0,0,0,3472936960,3499454464,0,0
1787749351422367111,61350404096,33138876416,57514094592,57396838400,0,0,0,0,0,3833647104,3880087552,0,0
1787749351556929943,61706129408,32783151104,57514094592,57396838400,0,0,0,0,0,4189110272,4228739072,0,0
1787749351687965320,62054780928,32434499584,57514094592,57396838400,0,0,0,0,0,4537761792,4574769152,0,0
1787749351818762843,62402908160,32086372352,57514094592,57396838400,0,0,0,0,0,4885889024,4929449984,0,0
1787749351954152641,62762045440,31727235072,57514094592,57396838400,0,0,0,0,0,5245288448,5278887936,0,0
1787749352084724830,63107551232,31381729280,57514094592,57396838400,0,0,0,0,0,5590794240,5627015168,0,0
1787749352216211205,63445909504,31043371008,57514094592,57396838400,0,0,0,0,0,5928890368,5963608064,0,0
1787749352346794664,63792463872,30696816640,57514094592,57396838400,0,0,0,0,0,6275706880,6313439232,0,0
1787749352480008802,64146878464,30342402048,57514094592,57396838400,0,0,0,0,0,6630121472,6658813952,0,0
1787749352611220062,64494219264,29995061248,57514094592,57396838400,0,0,0,0,0,6977200128,7013888000,0,0
1787749352743566224,64846016512,29643264000,57514094592,57396838400,0,0,0,0,0,7329259520,7362146304,0,0
1787749352874751644,65192046592,29297233920,57514094592,57396838400,0,0,0,0,0,7675289600,7703719936,0,0
1787749353005763951,65539575808,28949704704,57514020864,57396838400,0,0,0,0,0,8022630400,8060235776,0,0
1787749353139664771,65894486016,28594794496,57514020864,57396838400,0,0,0,0,0,8377540608,8410329088,0,0
1787749353271854460,66236059648,28253220864,57514020864,57396838400,0,0,0,0,0,8719376384,8745873408,0,0
1787749353402877707,66583662592,27905617920,57514020864,57396838400,0,0,0,0,0,9066717184,9095966720,0,0
1787749353535078256,66934411264,27554869248,57514020864,57396838400,0,0,0,0,0,9417465856,9443438592,0,0
1787749353664687157,67278344192,27210936320,57514020864,57396838400,0,0,0,0,0,9761660928,9787633664,0,0
1787749353795452899,67622801408,26866479104,57514020864,57396838400,0,0,0,0,0,10106118144,10136940544,0,0
1787749353929371640,67979055104,26510225408,57514020864,57396838400,0,0,0,0,0,10462109696,10491621376,0,0
1787749354061605079,68329279488,26160001024,57514020864,57396838400,0,0,0,0,0,10812596224,10835292160,0,0
1787749354191845992,68674523136,25814757376,57514020864,57396838400,0,0,0,0,0,11157577728,11169394688,0,0
1787749354322002993,69009281024,25479999488,57514020864,57396838400,0,0,0,0,0,11492335616,11515031552,0,0
1787749354452549371,69356097536,25133182976,57514020864,57396838400,0,0,0,0,0,11839152128,11857522688,0,0
1787749354584455825,69703176192,24786104320,57514020864,57396838400,0,0,0,0,0,12186492928,12201586688,0,0
1787749354713190240,70044749824,24444530688,57514020864,57396838400,0,0,0,0,0,12527804416,12543029248,0,0
1787749354842113038,70386323456,24102957056,57514020864,57396838400,0,0,0,0,0,12869378048,12878573568,0,0
1787749354969680671,70726586368,23762694144,57514020864,57396838400,0,0,0,0,0,13209903104,13220540416,0,0
1787749355098730802,71066849280,23422431232,57514020864,57396838400,0,0,0,0,0,13549903872,13557788672,0,0
1787749355225167314,71392169984,23097110528,57514020864,57396838400,0,0,0,0,0,13875224576,13881274368,0,0
1787749355352966672,71729811456,22759469056,57514020864,57396838400,0,0,0,0,0,14213128192,14222192640,0,0
1787749355483315127,72075816960,22413463552,57514020864,57396838400,0,0,0,0,0,14559133696,14577135616,0,0
1787749355615148519,72426041344,22063239168,57514020864,57396838400,0,0,0,0,0,14909358080,14940073984,0,0
1787749355753584913,72793042944,21696237568,57514020864,57396838400,0,0,0,0,0,15276359680,15296589824,0,0
1787749355887450142,73148510208,21340770304,57514020864,57396838400,0,0,0,0,0,15631826944,15646683136,0,0
1787749356019352415,73496899584,20992380928,57514020864,57396838400,0,0,0,0,0,15980216320,15994155008,0,0
