ts_ns,parent_current,parent_runway_below_high,main_current,main_anon,main_file,main_pgscan_direct,main_pgsteal_direct,main_psi_some_us,main_psi_full_us,sideload_current,sideload_file,parent_high_events,parent_max_events
1787748340277025697,57518759936,36970520576,57513373696,57396797440,0,0,0,0,0,2461696,3239936,0,0
1787748340414756827,57526325248,36962955264,57513373696,57396842496,0,0,0,0,0,10027008,3239936,0,0
1787748340551120742,57527975936,36961304576,57513373696,57396842496,0,0,0,0,0,11677696,3239936,0,0
1787748340690577514,57527971840,36961308672,57513373696,57396842496,0,0,0,0,0,11673600,3239936,0,0
1787748340821635772,57527971840,36961308672,57513373696,57396842496,0,0,0,0,0,11673600,3239936,0,0
1787748340950937137,57528233984,36961046528,57513373696,57396842496,0,0,0,0,0,11935744,3239936,0,0
1787748341083087965,57528233984,36961046528,57513373696,57396842496,0,0,0,0,0,11935744,3239936,0,0
1787748341220820655,57528217600,36961062912,57513373696,57396842496,0,0,0,0,0,11919360,3239936,0,0
1787748341350647350,57755713536,36733566976,57513373696,57396842496,0,0,0,0,0,239415296,294895616,0,0
1787748341484157082,58110132224,36379148288,57513373696,57396842496,0,0,0,0,0,593833984,642498560,0,0
1787748341615985544,58459308032,36029972480,57513373696,57396842496,0,0,0,0,0,943009792,991281152,0,0
1787748341747298346,58806648832,35682631680,57513373696,57396842496,0,0,0,0,0,1290612736,1343340544,0,0
1787748341881101084,59162324992,35326955520,57513373696,57396842496,0,0,0,0,0,1646026752,1688846336,0,0
1787748342010999651,59504947200,34984333312,57513373696,57396842496,0,0,0,0,0,1988911104,2037366784,0,0
1787748342142626519,59853561856,34635718656,57513373696,57396842496,0,0,0,0,0,2337263616,2372911104,0,0
1787748342270134261,60184125440,34305155072,57513373696,57396842496,0,0,0,0,0,2667827200,2704261120,0,0
1787748342398037061,60522553344,33966727168,57513373696,57396842496,0,0,0,0,0,3006517248,3061563392,0,0
1787748342536287590,60890341376,33598939136,57513373696,57396842496,0,0,0,0,0,3374305280,3416506368,0,0
1787748342668221314,61240041472,33249239040,57513373696,57396842496,0,0,0,0,0,3724267520,3763191808,0,0
1787748342799089308,61586595840,32902684672,57513373696,57396842496,0,0,0,0,0,4070297600,4107386880,0,0
1787748342930607554,61934460928,32554819584,57513373696,57396842496,0,0,0,0,0,4418424832,4455383040,0,0
1787748343061119342,62280359936,32208920576,57513373696,57396842496,0,0,0,0,0,4764061696,4803379200,0,0
1787748343193390182,62630584320,31858696192,57513373696,57396842496,0,0,0,0,0,5114286080,5153079296,0,0
1787748343327520526,62976090112,31513190400,57513373696,57396842496,0,0,0,0,0,5460054016,5492817920,0,0
1787748343457069576,63318712320,31170568192,57513373696,57396842496,0,0,0,0,0,5802676224,5850906624,0,0
1787748343593540953,63679684608,30809595904,57513373696,57396842496,0,0,0,0,0,6163386368,6203883520,0,0
1787748343727516294,64035414016,30453866496,57513373696,57396842496,0,0,0,0,0,6519115776,6552797184,0,0
1787748343858324377,64381706240,30107574272,57513373696,57396842496,0,0,0,0,0,6865408000,6892273664,0,0
1787748343987424059,64724066304,29765214208,57513373696,57396842496,0,0,0,0,0,7208030208,7246692352,0,0
1787748344120993362,65079271424,29410009088,57513373696,57396842496,0,0,0,0,0,7563235328,7599800320,0,0
1787748344255087826,65426087936,29063192576,57513373696,57396842496,0,0,0,0,0,7910051840,7944257536,0,0
1787748344387300505,65777623040,28711657472,57513373696,57396842496,0,0,0,0,0,8261586944,8293171200,0,0
1787748344518978684,66126012416,28363268096,57513373696,57396842496,0,0,0,0,0,8609976320,8652308480,0,0
1787748344654757578,66487246848,28002033664,57513373696,57396842496,0,0,0,0,0,8970948608,8995323904,0,0
