ts_ns,current_before,target_current,requested,current_after,rc
1787748471500414323,77343223808,77309411328,33812480,77310062592,0
1787748471528469532,77379006464,77309411328,69595136,77312684032,0
1787748471556215675,77379006464,77309411328,69595136,77312421888,0
1787748471584711322,77381627904,77309411328,72216576,77310324736,0
1787748471613237020,77380579328,77309411328,71168000,77313732608,0
1787748471641114136,77382676480,77309411328,73265152,77311111168,0
1787748471668838309,77379268608,77309411328,69857280,77312946176,0
1787748471696895819,77381365760,77309411328,71954432,77310324736,0
1787748471725614240,77379231744,77309411328,69820416,77312647168,0
1787748471754555206,77384212480,77309411328,74801152,77313171456,0
1787748471783879198,77383163904,77309411328,73752576,77314220032,0
1787748471812542829,77383688192,77309411328,74276864,77313433600,0
1787748471840811952,77383163904,77309411328,73752576,77311598592,0
1787748471869447412,77381591040,77309411328,72179712,77310550016,0
1787748471897887448,77380018176,77309411328,70606848,77313957888,0
1787748471926313124,77383688192,77309411328,74276864,77312647168,0
1787748471954648029,77382639616,77309411328,73228288,77311598592,0
1787748471983723187,77381853184,77309411328,72441856,77310812160,0
1787748472012711753,77382373376,77309411328,72962048,77311332352,0
1787748472041297942,77381849088,77309411328,72437760,77310545920,0
1787748472069885841,77380538368,77309411328,71127040,77313953792,0
1787748472098725655,77385256960,77309411328,75845632,77313429504,0
1787748472127732142,77384208384,77309411328,74797056,77312905216,0
1787748472156033335,77383421952,77309411328,74010624,77312118784,0
1787748472184237317,77381586944,77309411328,72175616,77310283776,0
1787748472211766117,77370052608,77309411328,60641280,77312118784,0
1787748472239987759,77380800512,77309411328,71389184,77314215936,0
1787748472269139959,77385256960,77309411328,75845632,77314215936,0
1787748472297709197,77384732672,77309411328,75321344,77313691648,0
1787748472325896739,77379489792,77309411328,70078464,77312905216,0
1787748472353891047,77382635520,77309411328,73224192,77310808064,0
1787748472382422515,77378965504,77309411328,69554176,77312118784,0
1787748472411766418,77383680000,77309411328,74268672,77312376832,0
1787748472440294626,77381320704,77309411328,71909376,77310017536,0
1787748472468194552,77377912832,77309411328,68501504,77311066112,0
1787748472496578087,77380534272,77309411328,71122944,77313425408,0
1787748472525187577,77382631424,77309411328,73220096,77311328256,0
1787748472553278527,77379223552,77309411328,69812224,77312114688,0
1787748472580933449,77379485696,77309411328,70074368,77312901120,0
1787748472608784124,77381320704,77309411328,71909376,77309755392,0
1787748472637402934,77378699264,77309411328,69287936,77312114688,0
1787748472666030983,77383155712,77309411328,73744384,77311852544,0
1787748472693692425,77380534272,77309411328,71122944,77313687552,0
1787748472721540381,77382369280,77309411328,72957952,77311066112,0
1787748472749748913,77379223552,77309411328,69812224,77313163264,0
1787748472778167498,77381058560,77309411328,71647232,77314998272,0
1787748472806667746,77384728576,77309411328,75317248,77313425408,0
1787748472834626073,77382369280,77309411328,72957952,77311328256,0
1787748472862298665,77379485696,77309411328,70074368,77312901120,0
1787748472890172271,77381058560,77309411328,71647232,77314736128,0
1787748472918828301,77383680000,77309411328,74268672,77312376832,0
1787748472947780087,77382369280,77309411328,72957952,77310803968,0
1787748472976043320,77380796416,77309411328,71385088,77314473984,0
1787748473004594778,77383155712,77309411328,73744384,77312110592,0
1787748473033167537,77381316608,77309411328,71905280,77310275584,0
1787748473062098733,77379481600,77309411328,70070272,77313421312,0
1787748473090572349,77380268032,77309411328,70856704,77313683456,0
1787748473118842452,77381054464,77309411328,71643136,77314994176,0
1787748473146996473,77384462336,77309411328,75051008,77313421312,0
1787748473175591873,77383413760,77309411328,74002432,77311848448,0
1787748473204064479,77377122304,77309411328,67710976,77307392000,0
1787748473232491026,77376860160,77309411328,67448832,77310537728,0
1787748473260253739,77380268032,77309411328,70856704,77313159168,0
1787748473287901741,77381578752,77309411328,72167424,77309751296,0
1787748473316202935,77377908736,77309411328,68497408,77311062016,0
