ts_ns,current_before,trigger_current,target_current,requested,current_after,rc
1787751357671775595,111650983936,107374182400,85899345920,1073741824,110573391872,0
1787751357767735607,110573391872,107374182400,85899345920,1073741824,109487919104,0
1787751357852181556,109487919104,107374182400,85899345920,1073741824,108406898688,0
1787751357960597459,108406898688,107374182400,85899345920,1073741824,107330957312,0
1787751358058390567,107330957312,107374182400,85899345920,1073741824,106250428416,0
1787751358136792715,106250428416,107374182400,85899345920,1073741824,105167749120,0
1787751358211309655,105167749120,107374182400,85899345920,1073741824,104087392256,0
1787751358263883933,104087392256,107374182400,85899345920,1073741824,103003693056,0
1787751358320790579,103003693056,107374182400,85899345920,1073741824,101922869248,0
1787751358382930619,101922869248,107374182400,85899345920,1073741824,100842618880,0
1787751358455869127,100842618880,107374182400,85899345920,1073741824,99761950720,0
1787751358526696183,99761950720,107374182400,85899345920,1073741824,98687328256,0
1787751358586977526,98687328256,107374182400,85899345920,1073741824,97608142848,0
1787751358636184967,97608142848,107374182400,85899345920,1073741824,96533614592,0
1787751358684788365,96533614592,107374182400,85899345920,1073741824,95455154176,0
1787751358744238961,95455154176,107374182400,85899345920,1073741824,94380711936,0
1787751358805064606,94380711936,107374182400,85899345920,1073741824,93304524800,0
1787751358865351179,93304524800,107374182400,85899345920,1073741824,92225605632,0
1787751358925373427,92225605632,107374182400,85899345920,1073741824,91143008256,0
1787751358987412656,91143008256,107374182400,85899345920,1073741824,90062295040,0
1787751359050847282,90062295040,107374182400,85899345920,1073741824,88987336704,0
1787751359116594906,88987336704,107374182400,85899345920,1073741824,87910203392,0
1787751359208647348,87910203392,107374182400,85899345920,1073741824,86834995200,0
1787751359282096736,86834995200,107374182400,85899345920,935649280,85895974912,0
