ts_ns,parent_current,parent_runway_below_high,main_current,main_anon,main_file,main_pgscan_direct,main_pgsteal_direct,main_psi_some_us,main_psi_full_us,sideload_current,sideload_file,parent_high_events,parent_max_events
1787751432540820531,57516781568,54152368128,57512718336,57396793344,0,0,0,0,0,1138688,0,0,0
1787751432674577588,57524912128,54144237568,57512718336,57396793344,0,0,0,0,0,9269248,0,0,0
1787751432805015298,57526849536,54142300160,57512718336,57396793344,0,0,0,0,0,11206656,0,0,0
1787751432936006520,57526849536,54142300160,57512718336,57396793344,0,0,0,0,0,11206656,0,0,0
1787751433068897409,57526591488,54142558208,57512718336,57396793344,0,0,0,0,0,10948608,0,0,0
1787751433198622415,57526591488,54142558208,57512718336,57396793344,0,0,0,0,0,10948608,0,0,0
1787751433326803250,57526591488,54142558208,57512718336,57396793344,0,0,0,0,0,10948608,0,0,0
1787751433459223310,57526591488,54142558208,57512718336,57396793344,0,0,0,0,0,10948608,0,0,0
1787751433590393665,57526591488,54142558208,57512718336,57396793344,0,0,0,0,0,10948608,0,0,0
1787751433718750093,57526591488,54142558208,57512718336,57396793344,0,0,0,0,0,10948608,0,0,0
1787751433849117252,57526591488,54142558208,57512718336,57396793344,0,0,0,0,0,10948608,0,0,0
1787751433976739726,57526591488,54142558208,57512718336,57396793344,0,0,0,0,0,10948608,0,0,0
1787751434103706626,57526341632,54142808064,57512718336,57396838400,0,0,0,0,0,10698752,2736128,0,0
1787751434235678217,57526599680,54142550016,57512718336,57396838400,0,0,0,0,0,10956800,2736128,0,0
1787751434367835821,57526861824,54142287872,57512718336,57396838400,0,0,0,0,0,11218944,2736128,0,0
1787751434505357073,57526861824,54142287872,57512718336,57396838400,0,0,0,0,0,11218944,2736128,0,0
1787751434634294063,57526861824,54142287872,57512718336,57396838400,0,0,0,0,0,11218944,2736128,0,0
1787751434764309475,57526861824,54142287872,57512718336,57396838400,0,0,0,0,0,11218944,2736128,0,0
1787751434892954919,57526861824,54142287872,57512718336,57396838400,0,0,0,0,0,11218944,2736128,0,0
1787751435023100003,57554898944,54114250752,57512718336,57396838400,0,0,0,0,0,39518208,99598336,0,0
1787751435159005172,57914019840,53755129856,57512718336,57396838400,0,0,0,0,0,398376960,441303040,0,0
1787751435288899341,58248777728,53420371968,57512718336,57396838400,0,0,0,0,0,733134848,780386304,0,0
1787751435419205658,58593230848,53075918848,57512718336,57396838400,0,0,0,0,0,1077587968,1118552064,0,0
1787751435547382843,58931916800,52737232896,57512718336,57396838400,0,0,0,0,0,1416273920,1453047808,0,0
1787751435673837023,59267198976,52401950720,57512718336,57396838400,0,0,0,0,0,1751818240,1785315328,0,0
1787751435799679071,59600121856,52069027840,57512718336,57396838400,0,0,0,0,0,2084741120,2118238208,0,0
1787751435925693452,59934093312,51735056384,57512718336,57396838400,0,0,0,0,0,2418712576,2452602880,0,0
1787751436051725393,60268589056,51400560640,57512718336,57396838400,0,0,0,0,0,2753208320,2766127104,0,0
1787751436179798916,60608589824,51060559872,57512718336,57396838400,0,0,0,0,0,3092946944,3119497216,0,0
1787751436305915069,60933648384,50735501312,57512718336,57396838400,0,0,0,0,0,3418267648,3449405440,0,0
1787751436433019492,61269716992,50399432704,57512718336,57396838400,0,0,0,0,0,3754074112,3789668352,0,0
1787751436562533963,61611028480,50058121216,57512718336,57396838400,0,0,0,0,0,4095385600,4130455552,0,0
1787751436691095505,61950767104,49718382592,57512718336,57396838400,0,0,0,0,0,4435124224,4465213440,0,0
1787751436817687848,62286311424,49382838272,57512718336,57396838400,0,0,0,0,0,4770668544,4799971328,0,0
1787751436944689848,62623166464,49045983232,57512718336,57396838400,0,0,0,0,0,5107523584,5134073856,0,0
1787751437070693299,62956347392,48712802304,57512718336,57396838400,0,0,0,0,0,5440966656,5469749248,0,0
1787751437197930355,63288483840,48380665856,57512718336,57396838400,0,0,0,0,0,5773103104,5794021376,0,0
1787751437324044737,63617212416,48051937280,57512718336,57396838400,0,0,0,0,0,6101569536,6134939648,0,0
1787751437454088629,63962189824,47706959872,57512718336,57396838400,0,0,0,0,0,6446809088,6475333632,0,0
1787751437582156721,64300355584,47368794112,57512718336,57396838400,0,0,0,0,0,6784974848,6829490176,0,0
1787751437716080610,64655536128,47013613568,57512718336,57396838400,0,0,0,0,0,7139893248,7163068416,0,0
1787751437842843176,64991342592,46677807104,57512718336,57396838400,0,0,0,0,0,7475961856,7497695232,0,0
1787751437969846187,65328721920,46340427776,57512718336,57396838400,0,0,0,0,0,7813341184,7833894912,0,0
1787751438097059482,65664790528,46004359168,57512718336,57396838400,0,0,0,0,0,8149409792,8175206400,0,0
1787751438226166814,65999548416,45669601280,57512718336,57396838400,0,0,0,0,0,8484167680,8512847872,0,0
1787751438357036942,66346627072,45322522624,57512718336,57396838400,0,0,0,0,0,8830984192,8856518656,0,0
1787751438486577423,66689773568,44979376128,57512718336,57396838400,0,0,0,0,0,9174392832,9195864064,0,0
1787751438614750947,67029774336,44639375360,57512718336,57396838400,0,0,0,0,0,9514131456,9531277312,0,0
1787751438740928121,67365056512,44304093184,57512718336,57396838400,0,0,0,0,0,9849413632,9864724480,0,0
1787751438867278679,67699027968,43970121728,57512718336,57396838400,0,0,0,0,0,10183647232,10204856320,0,0
1787751438997164687,68043747328,43625402368,57512718336,57396838400,0,0,0,0,0,10528366592,10543415296,0,0
1787751439123952473,68379029504,43290120192,57512718336,57396838400,0,0,0,0,0,10863648768,10878042112,0,0
1787751439250393432,68705136640,42964013056,57512718336,57396838400,0,0,0,0,0,11189493760,11207819264,0,0
1787751439379974564,69047492608,42621657088,57512718336,57396838400,0,0,0,0,0,11531849728,11551883264,0,0
1787751439510018435,69391425536,42277724160,57512718336,57396838400,0,0,0,0,0,11875782656,11892408320,0,0
1787751439640277031,69734572032,41934577664,57512718336,57396838400,0,0,0,0,0,12219191296,12235161600,0,0
1787751439771217360,70080864256,41588285440,57512718336,57396838400,0,0,0,0,0,12565483520,12581978112,0,0
1787751439899969025,70421389312,41247760384,57512718336,57396838400,0,0,0,0,0,12906008576,12916080640,0,0
1787751440026081028,70756147200,40913002496,57512718336,57396838400,0,0,0,0,0,13240504320,13252804608,0,0
1787751440154251691,71095361536,40573788160,57512718336,57396838400,0,0,0,0,0,13579980800,13588742144,0,0
1787751440280943635,71420682240,40248467456,57512718336,57396838400,0,0,0,0,0,13905039360,13917863936,0,0
1787751440411717641,71766958080,39902191616,57512718336,57396838400,0,0,0,0,0,14251315200,14265860096,0,0
1787751440541023127,72109318144,39559831552,57512718336,57396838400,0,0,0,0,0,14593937408,14598651904,0,0
1787751440666858564,72443027456,39226122240,57512718336,57396838400,0,0,0,0,0,14927646720,14932885504,0,0
1787751440793377704,72778047488,38891102208,57512718336,57396838400,0,0,0,0,0,15262666752,15266725888,0,0
1787751440919643529,73112543232,38556606464,57512718336,57396838400,0,0,0,0,0,15597162496,15602401280,0,0
1787751441048392265,73450971136,38218178560,57512718336,57396838400,0,0,0,0,0,15935590400,15937814528,0,0
1787751441174822793,73786253312,37882896384,57512718336,57396838400,0,0,0,0,0,16270610432,16270737408,0,0
1787751441300245111,74110263296,37558886400,57512718336,57396838400,0,0,0,0,0,16594882560,16598679552,0,0
1787751441427777822,74448953344,37220196352,57512718336,57396838400,0,0,0,0,0,16933572608,16934617088,0,0
1787751441554290982,74784497664,36884652032,57512718336,57396838400,0,0,0,0,0,17269116928,17268064256,0,0
1787751441680436715,75118469120,36550680576,57512718336,57396838400,0,0,0,0,0,17602826240,17600593920,0,0
1787751441806464546,75452702720,36216446976,57512718336,57396838400,0,0,0,0,0,17937059840,17932468224,0,0
1787751441932195410,75784314880,35884834816,57512718336,57396838400,0,0,0,0,0,18268934144,18264866816,0,0
1787751442057955475,76117762048,35551387648,57512718336,57396838400,0,0,0,0,0,18602381312,18599755776,0,0
