ts_ns,parent_current,parent_runway_below_high,main_current,main_anon,main_file,main_pgscan_direct,main_pgsteal_direct,main_psi_some_us,main_psi_full_us,sideload_current,sideload_file,parent_high_events,parent_max_events
1787749666178010055,57517531136,36971749376,57513160704,57396793344,0,0,0,0,0,1445888,0,0,0
1787749666311930455,57525092352,36964188160,57513160704,57396838400,0,0,0,0,0,9007104,2301952,0,0
1787749666443111074,57526657024,36962623488,57513160704,57396838400,0,0,0,0,0,10571776,2301952,0,0
1787749666574347184,57526657024,36962623488,57513160704,57396838400,0,0,0,0,0,10571776,2301952,0,0
1787749666703801402,57666809856,36822470656,57513160704,57396838400,0,0,0,0,0,150986752,206794752,0,0
1787749666838444025,58019917824,36469362688,57513160704,57396838400,0,0,0,0,0,504094720,546009088,0,0
1787749666966056668,58358345728,36130934784,57513160704,57396838400,0,0,0,0,0,842522624,884961280,0,0
1787749667094876294,58699132928,35790147584,57513160704,57396838400,0,0,0,0,0,1183309824,1229418496,0,0
1787749667225757168,59036774400,35452506112,57513160704,57396838400,0,0,0,0,0,1520951296,1561423872,0,0
1787749667354231797,59376250880,35113029632,57513160704,57396838400,0,0,0,0,0,1860427776,1906536448,0,0
1787749667486049198,59726999552,34762280960,57513160704,57396838400,0,0,0,0,0,2210914304,2252304384,0,0
1787749667615272061,60068048896,34421231616,57513160704,57396838400,0,0,0,0,0,2552225792,2588372992,0,0
1787749667742736962,60405428224,34083852288,57513160704,57396838400,0,0,0,0,0,2889342976,2922737664,0,0
1787749667868826137,60740448256,33748832256,57513160704,57396838400,0,0,0,0,0,3224363008,3256053760,0,0
1787749667995056195,61075468288,33413812224,57513160704,57396838400,0,0,0,0,0,3559645184,3593170944,0,0
1787749668122048587,61409701888,33079578624,57513160704,57396838400,0,0,0,0,0,3893878784,3924783104,0,0
1787749668248188073,61735809024,32753471488,57513160704,57396838400,0,0,0,0,0,4219985920,4249972736,0,0
1787749668374806069,62071615488,32417665024,57513160704,57396838400,0,0,0,0,0,4555792384,4588924928,0,0
1787749668503153406,62411878400,32077402112,57513160704,57396838400,0,0,0,0,0,4896055296,4933775360,0,0
1787749668634234913,62760267776,31729012736,57513160704,57396838400,0,0,0,0,0,5244444672,5275217920,0,0
1787749668762216433,63100268544,31389011968,57513160704,57396838400,0,0,0,0,0,5584183296,5610500096,0,0
1787749668888396660,63433191424,31056089088,57513160704,57396838400,0,0,0,0,0,5917368320,5942636544,0,0
1787749669014543497,63767949312,30721331200,57513160704,57396838400,0,0,0,0,0,6251864064,6277787648,0,0
1787749669141077730,64103755776,30385524736,57513160704,57396838400,0,0,0,0,0,6587670528,6613725184,0,0
1787749669267901599,64432484352,30056796160,57513160704,57396838400,0,0,0,0,0,6916661248,6946516992,0,0
1787749669397476509,64776941568,29712338944,57513160704,57396838400,0,0,0,0,0,7261118464,7292416000,0,0
1787749669527790472,65122447360,29366833152,57513160704,57396838400,0,0,0,0,0,7606362112,7634644992,0,0
1787749669657037046,65463496704,29025783808,57513160704,57396838400,0,0,0,0,0,7947411456,7978446848,0,0
1787749669787747056,65811099648,28678180864,57513160704,57396838400,0,0,0,0,0,8295276544,8317399040,0,0
1787749669915072104,66148823040,28340457472,57513160704,57396838400,0,0,0,0,0,8632999936,8653598720,0,0
1787749670041257301,66484105216,28005175296,57513160704,57396838400,0,0,0,0,0,8968282112,8993599488,0,0
1787749670171345601,66828038144,27661242368,57513160704,57396838400,0,0,0,0,0,9312215040,9341726720,0,0
1787749670302841206,67168301056,27320979456,57513160704,57396838400,0,0,0,0,0,9652477952,9677008896,0,0
1787749670431969317,67510661120,26978619392,57513160704,57396838400,0,0,0,0,0,9994838016,10019237888,0,0
1787749670561735350,67855118336,26634162176,57513160704,57396838400,0,0,0,0,0,10339033088,10357927936,0,0
