ts_ns,parent_current,parent_runway_below_high,main_current,main_anon,main_file,main_pgscan_direct,main_pgsteal_direct,main_psi_some_us,main_psi_full_us,sideload_current,sideload_file,parent_high_events,parent_max_events
1787750296561423868,57517666304,54151483392,57512595456,57396797440,8192,0,0,0,0,2146304,0,0,0
1787750296694476291,57524879360,54144270336,57512595456,57396797440,8192,0,0,0,0,9359360,0,0,0
1787750296824135221,57527357440,54141792256,57512595456,57396797440,8192,0,0,0,0,11837440,0,0,0
1787750296953159430,57527357440,54141792256,57512595456,57396797440,8192,0,0,0,0,11837440,0,0,0
1787750297083374431,57527586816,54141562880,57512595456,57396797440,8192,0,0,0,0,12066816,0,0,0
1787750297210085037,57527586816,54141562880,57512595456,57396797440,8192,0,0,0,0,12066816,0,0,0
1787750297335098782,57527586816,54141562880,57512595456,57396797440,8192,0,0,0,0,12066816,0,0,0
1787750297464596740,57527586816,54141562880,57512595456,57396797440,8192,0,0,0,0,12066816,0,0,0
1787750297600216710,57527586816,54141562880,57512595456,57396797440,8192,0,0,0,0,12066816,0,0,0
1787750297728987784,57527586816,54141562880,57512595456,57396797440,8192,0,0,0,0,12066816,0,0,0
1787750297858202857,57527586816,54141562880,57512595456,57396797440,8192,0,0,0,0,12066816,0,0,0
1787750297984927613,57527586816,54141562880,57512595456,57396797440,8192,0,0,0,0,12066816,0,0,0
1787750298119941562,57527586816,54141562880,57512595456,57396797440,8192,0,0,0,0,12066816,0,0,0
1787750298252098579,57527586816,54141562880,57512595456,57396797440,8192,0,0,0,0,12066816,0,0,0
1787750298385729403,57527586816,54141562880,57512595456,57396797440,8192,0,0,0,0,12066816,36454400,0,0
1787750298519283825,57856299008,53812850688,57512595456,57396797440,8192,0,0,0,0,340779008,384450560,0,0
1787750298648071080,58196561920,53472587776,57512595456,57396842496,8192,0,0,0,0,681304064,728121344,0,0
1787750298778924712,58543378432,53125771264,57512595456,57396842496,8192,0,0,0,0,1028120576,1067859968,0,0
1787750298908393419,58885476352,52783673344,57512595456,57396842496,8192,0,0,0,0,1369956352,1409564672,0,0
1787750299036832387,59227049984,52442099712,57512595456,57396842496,8192,0,0,0,0,1711792128,1758216192,0,0
1787750299169250379,59577012224,52092137472,57512595456,57396842496,8192,0,0,0,0,2061492224,2102935552,0,0
1787750299299101933,59911770112,51757379584,57512595456,57396842496,8192,0,0,0,0,2396512256,2444378112,0,0
1787750299433073783,60267970560,51401179136,57512595456,57396842496,8192,0,0,0,0,2752450560,2790801408,0,0
1787750299562325556,60610854912,51058294784,57512595456,57396842496,8192,0,0,0,0,3095597056,3138928640,0,0
1787750299693997684,60960292864,50708856832,57512595456,57396842496,8192,0,0,0,0,3444772864,3480633344,0,0
1787750299822848980,61302915072,50366234624,57512595456,57396842496,8192,0,0,0,0,3787395072,3819454464,0,0
1787750299950158177,61640032256,50029117440,57512595456,57396842496,8192,0,0,0,0,4124512256,4156440576,0,0
1787750300077175119,61978198016,49690951680,57512595456,57396842496,8192,0,0,0,0,4462678016,4495917056,0,0
1787750300205666798,62310334464,49358815232,57512595456,57396842496,8192,0,0,0,0,4794814464,4822286336,0,0
1787750300331641620,62644568064,49024581632,57512595456,57396842496,8192,0,0,0,0,5129310208,5156388864,0,0
1787750300457995280,62979325952,48689823744,57512595456,57396842496,8192,0,0,0,0,5463805952,5493374976,0,0
1787750300585768906,63318016000,48351133696,57512595456,57396842496,8192,0,0,0,0,5802758144,5831147520,0,0
1787750300715073890,63659589632,48009560064,57512595456,57396842496,8192,0,0,0,0,6144331776,6172721152,0,0
1787750300843333235,64000376832,47668772864,57512595456,57396842496,8192,0,0,0,0,6485118976,6507347968,0,0
1787750300969220546,64334086144,47335063552,57512595456,57396842496,8192,0,0,0,0,6818828288,6852067328,0,0
1787750301099894995,64679075840,46990073856,57512341504,57396842496,8192,0,0,0,0,7163809792,7196917760,0,0
1787750301232756735,65022484480,46646665216,57512341504,57396842496,8192,0,0,0,0,7507218432,7535083520,0,0
1787750301361980407,65365106688,46304043008,57512341504,57396842496,8192,0,0,0,0,7849840640,7879802880,0,0
1787750301493029433,65711919104,45957230592,57512341504,57396842496,8192,0,0,0,0,8196915200,8221245440,0,0
1787750301621235387,66052968448,45616181248,57512341504,57396842496,8192,0,0,0,0,8537964544,8564654080,0,0
1787750301751171723,66398212096,45270937600,57512341504,57396842496,8192,0,0,0,0,8882946048,8917630976,0,0
1787750301884251126,66751844352,44917305344,57512341504,57396842496,8192,0,0,0,0,9236840448,9258549248,0,0
1787750302012286667,67092107264,44577042432,57512341504,57396842496,8192,0,0,0,0,9576841216,9619521536,0,0
1787750302149649040,67455438848,44213710848,57512341504,57396842496,8192,0,0,0,0,9940434944,9972629504,0,0
1787750302283540558,67801206784,43867942912,57512341504,57396842496,8192,0,0,0,0,10285940736,10305159168,0,0
1787750302414344310,68146974720,43522174976,57512341504,57396842496,8192,0,0,0,0,10631708672,10664689664,0,0
1787750302548634186,68503752704,43165396992,57512341504,57396842496,8192,0,0,0,0,10988748800,11023302656,0,0
1787750302683977821,68859482112,42809667584,57512341504,57396842496,8192,0,0,0,0,11344216064,11366842368,0,0
1787750302814844044,69205774336,42463375360,57512341504,57396842496,8192,0,0,0,0,11690508288,11710644224,0,0
1787750302945917031,69551542272,42117607424,57512341504,57396842496,8192,0,0,0,0,12036276224,12054708224,0,0
1787750303074879639,69893115904,41776033792,57512341504,57396842496,8192,0,0,0,0,12377849856,12387762176,0,0
1787750303201170537,70217912320,41451237376,57512341504,57396842496,8192,0,0,0,0,12702646272,12717015040,0,0
1787750303330190926,70561320960,41107828736,57512341504,57396842496,8192,0,0,0,0,13046054912,13065666560,0,0
1787750303463079696,70913642496,40755507200,57512341504,57396842496,8192,0,0,0,0,13398376448,13412483072,0,0
1787750303592236207,71255478272,40413671424,57512341504,57396842496,8192,0,0,0,0,13740474368,13746716672,0,0
1787750303717983226,71586566144,40082583552,57512341504,57396842496,8192,0,0,0,0,14071300096,14077542400,0,0
1787750303844346735,71921061888,39748087808,57512341504,57396842496,8192,0,0,0,0,14405795840,14412431360,0,0
1787750303970973740,72256868352,39412281344,57512341504,57396842496,8192,0,0,0,0,14741864448,14744698880,0,0
1787750304096943553,72590577664,39078572032,57512341504,57396842496,8192,0,0,0,0,15075311616,15080636416,0,0
1787750304223912884,72916684800,38752464896,57512341504,57396842496,8192,0,0,0,0,15401418752,15405301760,0,0
1787750304350935665,73253539840,38415609856,57512341504,57396842496,8192,0,0,0,0,15738273792,15738880000,0,0
1787750304476278307,73584365568,38084784128,57512341504,57396842496,8192,0,0,0,0,16069099520,16092250112,0,0
1787750304611600941,73943240704,37725908992,57512341504,57396842496,8192,0,0,0,0,16427974656,16442736640,0,0
