ts_ns,parent_current,parent_runway_below_high,main_current,main_anon,main_file,main_pgscan_direct,main_pgsteal_direct,main_psi_some_us,main_psi_full_us,sideload_current,sideload_file,parent_high_events,parent_max_events
1787747929854113208,57518440448,36970840064,57513766912,57396793344,0,0,0,0,0,1748992,0,0,0
1787747929983498206,57525723136,36963557376,57513766912,57396793344,0,0,0,0,0,9031680,0,0,0
1787747930122803605,57527693312,36961587200,57513766912,57396793344,0,0,0,0,0,11001856,0,0,0
1787747930254225450,57527693312,36961587200,57513766912,57396793344,0,0,0,0,0,11001856,0,0,0
1787747930384883952,57527693312,36961587200,57513766912,57396793344,0,0,0,0,0,11001856,0,0,0
1787747930519174569,57527693312,36961587200,57513766912,57396793344,0,0,0,0,0,11001856,51535872,0,0
1787747930655566315,57871081472,36618199040,57513766912,57396793344,0,0,0,0,0,354652160,409231360,0,0
1787747930789750041,58227073024,36262207488,57513766912,57396793344,0,0,0,0,0,710643712,752377856,0,0
1787747930917565560,58566287360,35922993152,57513766912,57396793344,0,0,0,0,0,1049595904,1095131136,0,0
1787747931047828064,58910220288,35579060224,57513766912,57396793344,0,0,0,0,0,1393790976,1438015488,0,0
1787747931177605019,59253891072,35235389440,57513766912,57396793344,0,0,0,0,0,1737199616,1774215168,0,0
1787747931310135565,59595464704,34893815808,57513766912,57396838400,0,0,0,0,0,2078773248,2121293824,0,0
1787747931440676664,59942019072,34547261440,57513766912,57396838400,0,0,0,0,0,2425327616,2458935296,0,0
1787747931567457114,60278611968,34210668544,57513766912,57396838400,0,0,0,0,0,2761920512,2797625344,0,0
1787747931695028349,60616515584,33872764928,57513766912,57396838400,0,0,0,0,0,3100086272,3142082560,0,0
1787747931827862230,60969885696,33519394816,57513766912,57396838400,0,0,0,0,0,3453194240,3499122688,0,0
1787747931961156729,61324042240,33165238272,57513766912,57396838400,0,0,0,0,0,3807350784,3840172032,0,0
1787747932089053060,61662208000,32827072512,57513766912,57396838400,0,0,0,0,0,4145516544,4179255296,0,0
1787747932216786068,61993033728,32496246784,57513766912,57396838400,0,0,0,0,0,4476342272,4507459584,0,0
1787747932344214650,62329626624,32159653888,57513766912,57396838400,0,0,0,0,0,4813197312,4842872832,0,0
1787747932471700313,62667792384,31821488128,57513766912,57396838400,0,0,0,0,0,5151363072,5196767232,0,0
1787747932607558460,63027453952,31461826560,57513766912,57396838400,0,0,0,0,0,5511024640,5543321600,0,0
1787747932738582987,63372173312,31117107200,57513766912,57396838400,0,0,0,0,0,5855744000,5900099584,0,0
1787747932875695207,63736029184,30753251328,57513766912,57396838400,0,0,0,0,0,6219599872,6248226816,0,0
1787747933004529335,64077864960,30411415552,57513766912,57396838400,0,0,0,0,0,6561435648,6599892992,0,0
1787747933136805076,64428613632,30060666880,57513766912,57396838400,0,0,0,0,0,6911922176,6937796608,0,0
1787747933264101135,64757080064,29732200448,57513766912,57396838400,0,0,0,0,0,7240388608,7267442688,0,0
1787747933391785842,65095770112,29393510400,57513766912,57396838400,0,0,0,0,0,7579340800,7603380224,0,0
1787747933518823647,65431052288,29058228224,57513766912,57396838400,0,0,0,0,0,7914360832,7935385600,0,0
1787747933644928285,65766334464,28722946048,57513766912,57396838400,0,0,0,0,0,8249643008,8271060992,0,0
1787747933771686415,66102403072,28386877440,57513766912,57396838400,0,0,0,0,0,8585973760,8605425664,0,0
1787747933897740212,66436898816,28052381696,57513766912,57396838400,0,0,0,0,0,8920207360,8938741760,0,0
1787747934023832880,66770870272,27718410240,57513766912,57396838400,0,0,0,0,0,9254178816,9275858944,0,0
1787747934152526015,67111919616,27377360896,57513766912,57396838400,0,0,0,0,0,9595490304,9611796480,0,0
1787747934280257573,67440386048,27048894464,57513766912,57396838400,0,0,0,0,0,9923694592,9944457216,0,0
1787747934408318557,67780124672,26709155840,57513766912,57396838400,0,0,0,0,0,10263695360,10287210496,0,0
1787747934537887878,68123512832,26365767680,57513766912,57396838400,0,0,0,0,0,10607083520,10627997696,0,0
1787747934668211813,68460367872,26028912640,57513766912,57396838400,0,0,0,0,0,10943938560,10950303744,0,0
1787747934799081029,68741648384,25747632128,57513766912,57396838400,0,0,0,0,0,11225219072,11242987520,0,0
1787747934927774194,69075619840,25413660672,57513766912,57396838400,0,0,0,0,0,11558928384,11568963584,0,0
1787747935053054297,69404872704,25084407808,57513766912,57396838400,0,0,0,0,0,11888443392,11905818624,0,0
1787747935181610100,69743824896,24745455616,57513766912,57396838400,0,0,0,0,0,12227133440,12230615040,0,0
1787747935310827895,70068097024,24421183488,57513766912,57396838400,0,0,0,0,0,12551667712,12569305088,0,0
1787747935440225623,70386601984,24102678528,57513766912,57396838400,0,0,0,0,0,12869910528,12880338944,0,0
1787747935566760239,70721884160,23767396352,57513766912,57396838400,0,0,0,0,0,13205454848,13216538624,0,0
1787747935694493907,71060836352,23428444160,57513766912,57396838400,0,0,0,0,0,13544144896,13551951872,0,0
1787747935820581234,71395069952,23094210560,57513766912,57396838400,0,0,0,0,0,13878378496,13881204736,0,0
1787747935947092340,71728517120,22760763392,57513766912,57396838400,0,0,0,0,0,14211825664,14215700480,0,0
1787747936071921285,72059604992,22429675520,57513766912,57396838400,0,0,0,0,0,14543175680,14547443712,0,0
1787747936197584715,72388857856,22100422656,57513766912,57396838400,0,0,0,0,0,14872166400,14869225472,0,0
1787747936322771926,72714702848,21774577664,57513766912,57396838400,0,0,0,0,0,15198273536,15199920128,0,0
1787747936447872195,73046839296,21442441216,57513766912,57396838400,0,0,0,0,0,15530147840,15531139072,0,0
1787747936572849743,73378713600,21110566912,57513766912,57396838400,0,0,0,0,0,15862022144,15863144448,0,0
1787747936698434561,73710325760,20778954752,57513766912,57396838400,0,0,0,0,0,16193634304,16192528384,0,0
1787747936823366478,74042200064,20447080448,57513766912,57396838400,0,0,0,0,0,16525770752,16522960896,0,0
1787747936947940488,74372239360,20117041152,57513766912,57396838400,0,0,0,0,0,16855810048,16853524480,0,0
1787747937072838184,74703851520,19785428992,57513766912,57396838400,0,0,0,0,0,17187160064,17184743424,0,0
1787747937198480074,75031007232,19458273280,57513766912,57396838400,0,0,0,0,0,17514315776,17507049472,0,0
1787747937323297208,75359735808,19129544704,57513766912,57396838400,0,0,0,0,0,17843044352,17842855936,0,0
1787747937450962935,75696852992,18792427520,57513766912,57396838400,0,0,0,0,0,18180423680,18176696320,0,0
1787747937576843069,76030300160,18458980352,57513766912,57396838400,0,0,0,0,0,18513870848,18508046336,0,0
1787747937702012250,76362174464,18127106048,57513766912,57396838400,0,0,0,0,0,18845745152,18840969216,0,0
1787747937830264257,76702437376,17786843136,57513766912,57396838400,0,0,0,0,0,19185745920,19189358592,0,0
1787747937961040701,77049516032,17439764480,57513766912,57396838400,0,0,0,0,0,19533086720,19530801152,0,0
1787747938088482753,77386878976,17102401536,57513512960,57396838400,0,0,0,0,0,19870703616,19863855104,0,0
1787747938214644852,77711413248,16777867264,57513512960,57396838400,0,0,0,0,0,20194975744,20189700096,0,0
1787747938341556275,78047203328,16442077184,57513512960,57396838400,0,0,0,0,0,20531027968,20525244416,0,0
1787747938469082529,78386155520,16103124992,57513512960,57396838400,0,0,0,0,0,20869718016,20862754816,0,0
1787747938595651186,78721699840,15767580672,57513512960,57396838400,0,0,0,0,0,21205262336,21195153408,0,0
1787747938721496369,79054884864,15434395648,57513512960,57396838400,0,0,0,0,0,21538709504,21528862720,0,0
1787747938847658239,79388594176,15100686336,57513512960,57396838400,0,0,0,0,0,21872418816,21860868096,0,0
1787747938973218227,79715749888,14773530624,57513512960,57396838400,0,0,0,0,0,22199312384,22190120960,0,0
1787747939099686981,80044216320,14445064192,57513512960,57396838400,0,0,0,0,0,22528040960,22513082368,0,0
1787747939225047336,80363507712,14125772800,57513512960,57396838400,0,0,0,0,0,22847332352,22836830208,0,0
1787747939351874997,80697741312,13791539200,57513512960,57396838400,0,0,0,0,0,23181565952,23168180224,0,0
1787747939477988666,81032499200,13456781312,57513512960,57396838400,0,0,0,0,0,23516061696,23506345984,0,0
1787747939607221221,81372762112,13116518400,57513512960,57396838400,0,0,0,0,0,23856586752,23845167104,0,0
1787747939735777974,81705160704,12784119808,57513512960,57396838400,0,0,0,0,0,24188723200,24181497856,0,0
1787747939865808634,82050142208,12439138304,57513512960,57396838400,0,0,0,0,0,24533704704,24521105408,0,0
1787747939994182904,82388570112,12100710400,57513512960,57396838400,0,0,0,0,0,24872132608,24862416896,0,0
1787747940123648333,82731454464,11757826048,57513512960,57396838400,0,0,0,0,0,25215016960,25200582656,0,0
1787747940251204978,83060183040,11429097472,57513512960,57396838400,0,0,0,0,0,25543745536,25528524800,0,0
1787747940378482698,83386552320,11102728192,57513512960,57396838400,0,0,0,0,0,25870376960,25850437632,0,0
1787747940504610326,83721048064,10768232448,57513512960,57396838400,0,0,0,0,0,26204872704,26185064448,0,0
1787747940630860137,84056592384,10432688128,57513512960,57396838400,0,0,0,0,0,26540154880,26518511616,0,0
1787747940756799452,84385583104,10103697408,57513512960,57396838400,0,0,0,0,0,26869407744,26845274112,0,0
1787747940881825921,84715884544,9773395968,57513512960,57396838400,0,0,0,0,0,27199709184,27177017344,0,0
1787747941008372767,85035700224,9453580288,57513512960,57396838400,0,0,0,0,0,27519524864,27496308736,0,0
1787747941134838072,85368885248,9120395264,57513512960,57396838400,0,0,0,0,0,27852447744,27826085888,0,0
1787747941260157476,85687390208,8801890304,57513512960,57396838400,0,0,0,0,0,28171214848,28147605504,0,0
1787747941386572269,86023458816,8465821696,57513512960,57396838400,0,0,0,0,0,28507283456,28481708032,0,0
1787747941513727327,86358216704,8131063808,57513512960,57396838400,0,0,0,0,0,28842041344,28814499840,0,0
1787747941639202954,86683013120,7806267392,57513512960,57396838400,0,0,0,0,0,29166575616,29140082688,0,0
1787747941765608927,87017508864,7471771648,57513512960,57396838400,0,0,0,0,0,29501071360,29472612352,0,0
1787747941891132005,87347548160,7141732352,57513512960,57396838400,0,0,0,0,0,29831110656,29800554496,0,0
1787747942016498600,87670771712,6818508800,57513512960,57396838400,0,0,0,0,0,30154596352,30132035584,0,0
1787747942146028990,88010510336,6478770176,57513512960,57396838400,0,0,0,0,0,30494334976,30469939200,0,0
