ts_ns,current_before,target_current,requested,current_after,rc
1787749848464432801,94467768320,77309411328,1073741824,93392453632,0
1787749848540791929,93392453632,77309411328,1073741824,92317532160,0
1787749848611988942,92317532160,77309411328,1073741824,91241140224,0
1787749848664318917,91241140224,77309411328,1073741824,90164506624,0
1787749848719378952,90164502528,77309411328,1073741824,89089376256,0
1787749848796049326,89089376256,77309411328,1073741824,88009867264,0
1787749848870971418,88009867264,77309411328,1073741824,86928416768,0
1787749848961584949,86927884288,77309411328,1073741824,85845381120,0
1787749849018647821,85841387520,77309411328,1073741824,84764758016,0
1787749849091126497,84763693056,77309411328,1073741824,83685859328,0
1787749849170435950,83678404608,77309411328,1073741824,82601881600,0
1787749849279075583,82601615360,77309411328,1073741824,81518723072,0
1787749849369835327,81518456832,77309411328,1073741824,80438435840,0
1787749849435290654,80437637120,77309411328,1073741824,79361224704,0
1787749849512049179,79359893504,77309411328,1073741824,78278369280,0
1787749849591852571,78277836800,77309411328,968425472,77323821056,0
1787749849626571481,77334794240,77309411328,25382912,77312864256,0
1787749849654892343,77319852032,77309411328,10440704,77309300736,0
1787749849682037044,77320564736,77309411328,11153408,77305819136,0
1787749849709148194,77318926336,77309411328,9515008,77308375040,0
1787749849736989857,77319647232,77309411328,10235904,77305131008,0
1787749849763553967,77314035712,77309411328,4624384,77308989440,0
1787749849790547995,77319475200,77309411328,10063872,77304926208,0
1787749849817295748,77314625536,77309411328,5214208,77304795136,0
1787749849844375357,77314232320,77309411328,4820992,77309513728,0
1787749849871998227,77321568256,77309411328,12156928,77306789888,0
1787749849898832322,77319372800,77309411328,9961472,77309378560,0
1787749849926017253,77323010048,77309411328,13598720,77308264448,0
1787749849953024671,77322412032,77309411328,13000704,77307469824,0
1787749849980335335,77320835072,77309411328,11423744,77306384384,0
1787749850008137027,77320273920,77309411328,10862592,77305237504,0
1787749850034953652,77318864896,77309411328,9453568,77309689856,0
1787749850062116933,77323321344,77309411328,13910016,77308280832,0
1787749850089145551,77322174464,77309411328,12763136,77307756544,0
1787749850116529996,77320339456,77309411328,10928128,77305200640,0
1787749850144046603,77317783552,77309411328,8372224,77307854848,0
1787749850170879028,77319385088,77309411328,9973760,77309751296,0
1787749850197839505,77321285632,77309411328,11874304,77306179584,0
1787749850224734721,77317713920,77309411328,8302592,77307654144,0
1787749850251813271,77319188480,77309411328,9777152,77309587456,0
1787749850279653834,77321121792,77309411328,11710464,77306507264,0
1787749850306678402,77317775360,77309411328,8364032,77307584512,0
1787749850333446096,77319118848,77309411328,9707520,77309026304,0
1787749850360233040,77318463488,77309411328,9052160,77308469248,0
1787749850387320859,77319217152,77309411328,9805824,77308968960,0
1787749850414807116,77320499200,77309411328,11087872,77305393152,0
1787749850441522529,77315088384,77309411328,5677056,77305454592,0
1787749850468209791,77314891776,77309411328,5480448,77305057280,0
1787749850494640958,77314232320,77309411328,4820992,77309186048,0
1787749850521599376,77319147520,77309411328,9736192,77309546496,0
