ts_ns,parent_current,parent_runway_below_high,main_current,main_anon,main_file,main_pgscan_direct,main_pgsteal_direct,main_psi_some_us,main_psi_full_us,sideload_current,sideload_file,parent_high_events,parent_max_events
1787749792021776754,57518059520,36971220992,57513377792,57396793344,4096,0,0,0,0,1757184,0,0,0
1787749792157477967,57526562816,36962717696,57513377792,57396838400,4096,0,0,0,0,10260480,3805184,0,0
1787749792290776045,57528791040,36960489472,57513377792,57396838400,4096,0,0,0,0,12488704,3805184,0,0
1787749792419027460,57528774656,36960505856,57513377792,57396838400,4096,0,0,0,0,12472320,3805184,0,0
1787749792555829042,57529016320,36960264192,57513377792,57396838400,4096,0,0,0,0,12713984,3805184,0,0
1787749792685936852,57529016320,36960264192,57513377792,57396838400,4096,0,0,0,0,12713984,3805184,0,0
1787749792817778533,57529016320,36960264192,57513377792,57396838400,4096,0,0,0,0,12713984,3805184,0,0
1787749792945880955,57529016320,36960264192,57513377792,57396838400,4096,0,0,0,0,12713984,3805184,0,0
1787749793073745913,57529016320,36960264192,57513377792,57396838400,4096,0,0,0,0,12713984,3805184,0,0
1787749793199874819,57529016320,36960264192,57513377792,57396838400,4096,0,0,0,0,12713984,3805184,0,0
1787749793325939924,57529278464,36960002048,57513377792,57396838400,4096,0,0,0,0,12976128,3805184,0,0
1787749793451734164,57529278464,36960002048,57513377792,57396838400,4096,0,0,0,0,12976128,3805184,0,0
1787749793579447439,57529278464,36960002048,57513377792,57396838400,4096,0,0,0,0,12976128,3805184,0,0
1787749793705460263,57529278464,36960002048,57513377792,57396838400,4096,0,0,0,0,12976128,3805184,0,0
1787749793835338258,57529278464,36960002048,57513377792,57396838400,4096,0,0,0,0,12976128,3805184,0,0
1787749793962824408,57529040896,36960239616,57513377792,57396838400,4096,0,0,0,0,12738560,3805184,0,0
1787749794090995912,57806389248,36682891264,57513377792,57396838400,4096,0,0,0,0,290086912,326262784,0,0
1787749794216596168,58130399232,36358881280,57513377792,57396838400,4096,0,0,0,0,614096896,652500992,0,0
1787749794343742363,58465943552,36023336960,57513377792,57396838400,4096,0,0,0,0,949903360,988569600,0,0
