ts_ns,current_before,target_current,requested,current_after,rc
1787750158806066682,111644585984,85899345920,1073741824,110565281792,0
1787750158883526060,110565281792,85899345920,1073741824,109481553920,0
1787750158948258354,109481553920,85899345920,1073741824,108400562176,0
1787750159027511815,108400562176,85899345920,1073741824,107314237440,0
1787750159089071650,107314237440,85899345920,1073741824,106234310656,0
1787750159165271945,106234310656,85899345920,1073741824,105156112384,0
1787750159224337704,105156112384,85899345920,1073741824,104081039360,0
1787750159279101494,104081039360,85899345920,1073741824,103002578944,0
1787750159331921278,103002578944,85899345920,1073741824,101925691392,0
1787750159384153801,101925691392,85899345920,1073741824,100847493120,0
1787750159437618387,100847493120,85899345920,1073741824,99766411264,0
1787750159489828269,99766411264,85899345920,1073741824,98687688704,0
1787750159542631583,98687688704,85899345920,1073741824,97605816320,0
1787750159620488578,97605816320,85899345920,1073741824,96529334272,0
1787750159694599405,96529334272,85899345920,1073741824,95450054656,0
1787750159765757587,95450054656,85899345920,1073741824,94371815424,0
1787750159817313928,94371815424,85899345920,1073741824,93293961216,0
1787750159866001355,93293961216,85899345920,1073741824,92217073664,0
1787750159920653003,92217073664,85899345920,1073741824,91136315392,0
1787750159988696978,91136315392,85899345920,1073741824,90059001856,0
1787750160059689146,90059001856,85899345920,1073741824,88978632704,0
1787750160122681078,88978632704,85899345920,1073741824,87904370688,0
1787750160172741521,87904370688,85899345920,1073741824,86827483136,0
1787750160223156060,86827483136,85899345920,928137216,85891997696,0
1787750160317235595,85901434880,85899345920,2088960,85893799936,0
1787750160344553139,85910753280,85899345920,11407360,85889679360,0
1787750160371175310,85904183296,85899345920,4837376,85896581120,0
1787750160398163337,85908590592,85899345920,9244672,85896491008,0
1787750160425885738,85910913024,85899345920,11567104,85889064960,0
1787750160453593129,85907611648,85899345920,8265728,85885222912,0
1787750160503664512,85916413952,85899345920,17068032,85885374464,0
1787750160530330814,85905448960,85899345920,6103040,85896806400,0
1787750160557478475,85904773120,85899345920,5427200,85897695232,0
1787750160586429018,85916045312,85899345920,16699392,85884989440,0
1787750160613056369,85899563008,85899345920,217088,85891895296,0
1787750160639621819,85904273408,85899345920,4927488,85898506240,0
1787750160666684998,85915213824,85899345920,15867904,85899730944,0
1787750160694249797,85912961024,85899345920,13615104,85889601536,0
1787750160721467558,85901414400,85899345920,2068480,85893746688,0
1787750160749178059,85917126656,85899345920,17780736,85885181952,0
1787750160775786550,85899886592,85899345920,540672,85896032256,0
1787750160802771547,85902680064,85899345920,3334144,85902311424,0
1787750160830421297,85911863296,85899345920,12517376,85898903552,0
1787750160858198579,85906219008,85899345920,6873088,85895958528,0
1787750160886193996,85915684864,85899345920,16338944,85885046784,0
1787750160935601077,85915348992,85899345920,16003072,85899149312,0
1787750160963262787,85912195072,85899345920,12849152,85889163264,0
1787750160991231502,85909954560,85899345920,10608640,85886365696,0
1787750161018131188,85901344768,85899345920,1998848,85898518528,0
1787750161045199327,85904019456,85899345920,4673536,85903433728,0
1787750161072184655,85908672512,85899345920,9326592,85892677632,0
1787750161099874905,85911621632,85899345920,12275712,85888970752,0
1787750161127720299,85909954560,85899345920,10608640,85885980672,0
1787750161154429401,85900439552,85899345920,1093632,85894934528,0
1787750161181147044,85903364096,85899345920,4018176,85895761920,0
1787750161208309485,85912293376,85899345920,12947456,85901492224,0
1787750161235609538,85912412160,85899345920,13066240,85890023424,0
1787750161263212957,85902909440,85899345920,3563520,85902962688,0
1787750161290241185,85915176960,85899345920,15831040,85897224192,0
1787750161317689531,85913710592,85899345920,14364672,85896929280,0
1787750161345389802,85903032320,85899345920,3686400,85901697024,0
1787750161373549411,85908385792,85899345920,9039872,85899051008,0
1787750161401943515,85909815296,85899345920,10469376,85888335872,0
1787750161428740299,85910945792,85899345920,11599872,85888679936,0
1787750161455538063,85911171072,85899345920,11825152,85889040384,0
1787750161482371598,85914042368,85899345920,14696448,85891186688,0
1787750161509356475,85908451328,85899345920,9105408,85898203136,0
1787750161536952434,85917642752,85899345920,18296832,85887098880,0
1787750161563476713,85905592320,85899345920,6246400,85897728000,0
1787750161590439780,85922234368,85899345920,22888448,85891186688,0
1787750161617246855,85915508736,85899345920,16162816,85897908224,0
1787750161644752752,85915226112,85899345920,15880192,85896282112,0
1787750161672063205,85915017216,85899345920,15671296,85903585280,0
1787750161699158995,85922828288,85899345920,23482368,85891751936,0
1787750161726330366,85907972096,85899345920,8626176,85894787072,0
1787750161753184881,85905326080,85899345920,5980160,85897461760,0
1787750161780895872,85908774912,85899345920,9428992,85893439488,0
1787750161808453700,85906747392,85899345920,7401472,85899669504,0
1787750161835367146,85912883200,85899345920,13537280,85896892416,0
1787750161862384295,85916393472,85899345920,17047552,85891563520,0
1787750161889229760,85908946944,85899345920,9601024,85900980224,0
1787750161916650965,85908652032,85899345920,9306112,85896241152,0
1787750161944725353,85907402752,85899345920,8056832,85894987776,0
1787750161971581208,85905440768,85899345920,6094848,85903822848,0
1787750161998496114,85908086784,85899345920,8740864,85892358144,0
1787750162025467932,85910216704,85899345920,10870784,85898379264,0
1787750162052870437,85915697152,85899345920,16351232,85886111744,0
1787750162080070218,85906210816,85899345920,6864896,85898346496,0
1787750162107060246,85914804224,85899345920,15458304,85900320768,0
1787750162134053014,85918699520,85899345920,19353600,85898858496,0
1787750162161349257,85917011968,85899345920,17666048,85887184896,0
1787750162188434156,85909925888,85899345920,10579968,85888352256,0
1787750162215728780,85908283392,85899345920,8937472,85895442432,0
1787750162242438572,85911863296,85899345920,12517376,85889929216,0
1787750162269027282,85907324928,85899345920,7979008,85901819904,0
1787750162295625883,85915365376,85899345920,16019456,85899374592,0
1787750162323371554,85913751552,85899345920,14405632,85903798272,0
1787750162350961823,85908680704,85899345920,9334784,85899550720,0
1787750162377575104,85904695296,85899345920,5349376,85897093120,0
1787750162404589802,85908353024,85899345920,9007104,85897035776,0
1787750162431295884,85903810560,85899345920,4464640,85896208384,0
1787750162458612838,85907181568,85899345920,7835648,85899546624,0
1787750162486360139,85910970368,85899345920,11624448,85895438336,0
1787750162513168474,85905825792,85899345920,6479872,85898125312,0
1787750162540075120,85911056384,85899345920,11710464,85895327744,0
1787750162566688691,85905387520,85899345920,6041600,85897256960,0
1787750162594788019,85916594176,85899345920,17248256,85884477440,0
1787750162645160087,85914075136,85899345920,14729216,85891670016,0
1787750162672015303,85903708160,85899345920,4362240,85895307264,0
1787750162698932619,85912080384,85899345920,12734464,85890273280,0
1787750162726315954,85907263488,85899345920,7917568,85897625600,0
1787750162754380441,85911334912,85899345920,11988992,85889552384,0
1787750162781120024,85906604032,85899345920,7258112,85893046272,0
1787750162808063261,85910061056,85899345920,10715136,85893918720,0
1787750162834801794,85901328384,85899345920,1982464,85897625600,0
1787750162862041956,85902659584,85899345920,3313664,85895319552,0
1787750162889509873,85907574784,85899345920,8228864,85896024064,0
1787750162916143254,85903294464,85899345920,3948544,85895954432,0
1787750162943394326,85912547328,85899345920,13201408,85892210688,0
1787750162970253611,85903298560,85899345920,3952640,85895659520,0
1787750162997983143,85913624576,85899345920,14278656,85892972544,0
1787750163025569721,85903536128,85899345920,4190208,85896130560,0
1787750163053054048,85915004928,85899345920,15659008,85885870080,0
1787750163079608638,85900492800,85899345920,1146880,85893152768,0
1787750163106405942,85910286336,85899345920,10940416,85899919360,0
1787750163133516742,85908611072,85899345920,9265152,85893402624,0
1787750163161253413,85912584192,85899345920,13238272,85890674688,0
1787750163188777881,85906518016,85899345920,7172096,85904478208,0
1787750163215950222,85916172288,85899345920,16826368,85887188992,0
1787750163242675644,85903781888,85899345920,4435968,85895909376,0
1787750163269869246,85901242368,85899345920,1896448,85896253440,0
1787750163298127937,85908541440,85899345920,9195520,85896847360,0
1787750163325186956,85903507456,85899345920,4161536,85899558912,0
1787750163352103222,85917331456,85899345920,17985536,85887709184,0
1787750163378583750,85902610432,85899345920,3264512,85895270400,0
1787750163405757521,85909966848,85899345920,10620928,85895188480,0
1787750163434063783,85914791936,85899345920,15446016,85885202432,0
1787750163483635577,85906960384,85899345920,7614464,85896941568,0
1787750163510316649,85902213120,85899345920,2867200,85894602752,0
1787750163537920038,85909889024,85899345920,10543104,85890650112,0
1787750163565563338,85903601664,85899345920,4255744,85902737408,0
1787750163593290239,85908217856,85899345920,8871936,85893537792,0
1787750163620000711,85903155200,85899345920,3809280,85896077312,0
1787750163647144942,85915230208,85899345920,15884288,85885743104,0
1787750163673895325,85902856192,85899345920,3510272,85889818624,0
1787750163701833280,85901017088,85899345920,1671168,85893677056,0
1787750163729271056,85905887232,85899345920,6541312,85901324288,0
1787750163756128781,85909209088,85899345920,9863168,85898956800,0
1787750163782803743,85905309696,85899345920,5963776,85897871360,0
1787750163810483764,85908803584,85899345920,9457664,85893861376,0
1787750163838585142,85907144704,85899345920,7798784,85897531392,0
1787750163866346794,85903781888,85899345920,4435968,85895573504,0
1787750163893138518,85905985536,85899345920,6639616,85898645504,0
1787750163920013033,85910462464,85899345920,11116544,85895782400,0
1787750163947178584,85907156992,85899345920,7811072,85892964352,0
1787750163975299452,85904527360,85899345920,5181440,85903974400,0
1787750164003729407,85916614656,85899345920,17268736,85887737856,0
1787750164053853091,85914570752,85899345920,15224832,85889548288,0
1787750164081022382,85899911168,85899345920,565248,85898420224,0
1787750164108691862,85910343680,85899345920,10997760,85896196096,0
1787750164136615887,85900193792,85899345920,847872,85897039872,0
1787750164163756067,85908672512,85899345920,9326592,85897449472,0
1787750164190733945,85908983808,85899345920,9637888,85894156288,0
1787750164217352045,85902184448,85899345920,2838528,85897101312,0
1787750164244829432,85905330176,85899345920,5984256,85898514432,0
1787750164273095583,85910429696,85899345920,11083776,85901348864,0
1787750164300237114,85912113152,85899345920,12767232,85893713920,0
1787750164327021778,85904523264,85899345920,5177344,85897445376,0
1787750164354137758,85908791296,85899345920,9445376,85900656640,0
1787750164381721036,85912248320,85899345920,12902400,85897768960,0
1787750164409218613,85902884864,85899345920,3538944,85899714560,0
1787750164436558597,85907148800,85899345920,7802880,85899829248,0
1787750164463563705,85911568384,85899345920,12222464,85897396224,0
1787750164490774287,85908254720,85899345920,8908800,85886033920,0
1787750164541594524,85913534464,85899345920,14188544,85899145216,0
1787750164568690493,85909442560,85899345920,10096640,85892087808,0
