ts_ns,parent_current,parent_runway_below_high,main_current,main_anon,main_file,main_pgscan_direct,main_pgsteal_direct,main_psi_some_us,main_psi_full_us,sideload_current,sideload_file,parent_high_events,parent_max_events
1787750094338516847,57516011520,54153138176,57512194048,57396789248,0,0,0,0,0,888832,0,0,0
1787750094468730768,57525223424,54143926272,57512194048,57396789248,0,0,0,0,0,10104832,0,0,0
1787750094600743472,57527074816,54142074880,57512194048,57396789248,0,0,0,0,0,11956224,0,0,0
1787750094730132838,57527058432,54142091264,57512194048,57396789248,0,0,0,0,0,11939840,0,0,0
1787750094858547296,57527300096,54141849600,57512194048,57396789248,0,0,0,0,0,12181504,0,0,0
1787750094985196861,57527300096,54141849600,57512194048,57396789248,0,0,0,0,0,12181504,0,0,0
1787750095111542151,57527300096,54141849600,57512194048,57396789248,0,0,0,0,0,12181504,0,0,0
1787750095241199862,57527300096,54141849600,57512194048,57396789248,0,0,0,0,0,12181504,0,0,0
1787750095372701226,57527300096,54141849600,57512194048,57396789248,0,0,0,0,0,12181504,0,0,0
1787750095501381479,57527300096,54141849600,57512194048,57396789248,0,0,0,0,0,12181504,0,0,0
1787750095631042650,57527300096,54141849600,57512194048,57396789248,0,0,0,0,0,12181504,0,0,0
1787750095758571181,57527300096,54141849600,57512194048,57396789248,0,0,0,0,0,12181504,0,0,0
1787750095884867140,57527300096,54141849600,57512194048,57396789248,0,0,0,0,0,12181504,0,0,0
1787750096013055013,57527300096,54141849600,57512194048,57396789248,0,0,0,0,0,12181504,0,0,0
1787750096147747017,57527234560,54141915136,57512194048,57396834304,0,0,0,0,0,12115968,3469312,0,0
1787750096277442568,57527234560,54141915136,57512194048,57396834304,0,0,0,0,0,12115968,3469312,0,0
1787750096412295865,57527234560,54141915136,57512194048,57396834304,0,0,0,0,0,12115968,3469312,0,0
1787750096545111494,57527234560,54141915136,57512194048,57396834304,0,0,0,0,0,12115968,3469312,0,0
1787750096677970553,57527234560,54141915136,57512194048,57396834304,0,0,0,0,0,12115968,3469312,0,0
1787750096808267346,57527234560,54141915136,57512194048,57396834304,0,0,0,0,0,12115968,3469312,0,0
1787750096936215045,57561296896,54107852800,57512194048,57396834304,0,0,0,0,0,46178304,87879680,0,0
1787750097064342937,57899986944,53769162752,57512194048,57396834304,0,0,0,0,0,385130496,435220480,0,0
1787750097196418903,58248359936,53420789760,57512194048,57396834304,0,0,0,0,0,733241344,770502656,0,0
1787750097326610543,58584952832,53084196864,57512194048,57396834304,0,0,0,0,0,1069834240,1110503424,0,0
1787750097454148025,58922180608,52746969088,57512194048,57396834304,0,0,0,0,0,1407324160,1450242048,0,0
1787750097583239345,59264540672,52404609024,57512194048,57396834304,0,0,0,0,0,1749684224,1793257472,0,0
1787750097713997186,59611095040,52058054656,57512194048,57396834304,0,0,0,0,0,2096238592,2136141824,0,0
1787750097842977994,59954241536,51714908160,57512194048,57396834304,0,0,0,0,0,2439122944,2473914368,0,0
1787750097970139069,60292145152,51377004544,57512194048,57396834304,0,0,0,0,0,2777026560,2808541184,0,0
1787750098096489258,60627689472,51041460224,57512194048,57396834304,0,0,0,0,0,3112570880,3148148736,0,0
1787750098224237974,60958253056,50710896640,57512194048,57396834304,0,0,0,0,0,3443134464,3476353024,0,0
1787750098352407757,61296943104,50372206592,57512194048,57396834304,0,0,0,0,0,3782086656,3835228160,0,0
1787750098488817382,61657128960,50012020736,57512194048,57396834304,0,0,0,0,0,4142272512,4193579008,0,0
1787750098625927650,62020722688,49648427008,57512194048,57396834304,0,0,0,0,0,4505604096,4545638400,0,0
1787750098756406766,62365704192,49303445504,57512194048,57396834304,0,0,0,0,0,4850585600,4890750976,0,0
1787750098887923751,62714355712,48954793984,57512194048,57396834304,0,0,0,0,0,5199237120,5234552832,0,0
1787750099019615999,63063793664,48605356032,57512194048,57396834304,0,0,0,0,0,5548937216,5592510464,0,0
1787750099154819402,63419785216,48249364480,57512194048,57396834304,0,0,0,0,0,5904666624,5936967680,0,0
1787750099286604652,63760572416,47908577280,57512194048,57396834304,0,0,0,0,0,6245453824,6252589056,0,0
1787750099419864849,64114204672,47554945024,57512194048,57396834304,0,0,0,0,0,6599348224,6645149696,0,0
1787750099555200075,64473604096,47195545600,57512194048,57396834304,0,0,0,0,0,6958485504,6995505152,0,0
1787750099688662345,64827236352,46841913344,57512194048,57396834304,0,0,0,0,0,7312117760,7339044864,0,0
1787750099817650804,65169068032,46500081664,57512194048,57396834304,0,0,0,0,0,7653949440,7679832064,0,0
1787750099948831242,65515884544,46153265152,57512194048,57396834304,0,0,0,0,0,8000765952,8036478976,0,0
1787750100082191131,65870303232,45798846464,57512194048,57396834304,0,0,0,0,0,8355184640,8383688704,0,0
1787750100212245369,66206109696,45463040000,57512194048,57396834304,0,0,0,0,0,8691253248,8723820544,0,0
1787750100344038979,66555547648,45113602048,57512194048,57396834304,0,0,0,0,0,9040691200,9066704896,0,0
1787750100473457216,66898432000,44770717696,57512194048,57396834304,0,0,0,0,0,9383313408,9416667136,0,0
1787750100606265514,67250491392,44418658304,57512194048,57396834304,0,0,0,0,0,9735372800,9754177536,0,0
1787750100733596942,67587346432,44081803264,57512194048,57396834304,0,0,0,0,0,10072227840,10089197568,0,0
1787750100860304298,67922628608,43746521088,57512194048,57396834304,0,0,0,0,0,10407510016,10432606208,0,0
1787750100991363055,68269969408,43399180288,57512194048,57396834304,0,0,0,0,0,10754850816,10792398848,0,0
1787750101128294900,68629630976,43039518720,57512194048,57396834304,0,0,0,0,0,11114774528,11146555392,0,0
1787750101262729389,68976447488,42692702208,57512194048,57396834304,0,0,0,0,0,11461328896,11480788992,0,0
1787750101393959118,69324050432,42345099264,57512194048,57396834304,0,0,0,0,0,11809193984,11829178368,0,0
1787750101524363943,69666934784,42002214912,57512194048,57396834304,0,0,0,0,0,12151816192,12172718080,0,0
1787750101656427318,70016372736,41652776960,57512194048,57396834304,0,0,0,0,0,12501254144,12519141376,0,0
1787750101785574109,70358470656,41310679040,57512194048,57396834304,0,0,0,0,0,12843352064,12855603200,0,0
1787750101913426776,70697422848,40971726848,57512194048,57396834304,0,0,0,0,0,13182566400,13197307904,0,0
1787750102042175380,71038996480,40630153216,57512194048,57396834304,0,0,0,0,0,13524140032,13544517632,0,0
1787750102176278283,71394463744,40274685952,57512194048,57396834304,0,0,0,0,0,13879607296,13886746624,0,0
1787750102305218070,71725289472,39943860224,57512194048,57396834304,0,0,0,0,0,14210170880,14225043456,0,0
1787750102437620522,72080494592,39588655104,57512194048,57396834304,0,0,0,0,0,14565638144,14583656448,0,0
1787750102571130513,72430456832,39238692864,57512194048,57396834304,0,0,0,0,0,14915338240,14932045824,0,0
1787750102702451855,72779370496,38889779200,57512194048,57396834304,0,0,0,0,0,15264251904,15280828416,0,0
1787750102834269095,73128546304,38540603392,57512194048,57396834304,0,0,0,0,0,15613689856,15623712768,0,0
1787750102963325605,73468809216,38200340480,57512194048,57396834304,0,0,0,0,0,15953690624,15968694272,0,0
1787750103097902786,73826635776,37842513920,57512194048,57396834304,0,0,0,0,0,16311779328,16335040512,0,0
1787750103233362894,74176335872,37492813824,57512194048,57396834304,0,0,0,0,0,16661217280,16667701248,0,0
1787750103362806760,74518171648,37150978048,57512194048,57396834304,0,0,0,0,0,17003315200,17016745984,0,0
1787750103495605399,74869182464,36799967232,57512194048,57396834304,0,0,0,0,0,17354326016,17357533184,0,0
1787750103623702461,75208396800,36460752896,57512194048,57396834304,0,0,0,0,0,17693278208,17698582528,0,0
1787750103753307001,75549446144,36119703552,57512194048,57396834304,0,0,0,0,0,18034327552,18043826176,0,0
1787750103884964198,75897573376,35771576320,57512194048,57396834304,0,0,0,0,0,18382716928,18389856256,0,0
1787750104015543676,76243603456,35425546240,57512194048,57396834304,0,0,0,0,0,18728747008,18733133824,0,0
1787750104145365680,76586749952,35082399744,57512194048,57396834304,0,0,0,0,0,19071893504,19068284928,0,0
1787750104272393262,76914954240,34754195456,57512194048,57396834304,0,0,0,0,0,19400097792,19393736704,0,0
1787750104400212628,77253644288,34415505408,57512194048,57396834304,0,0,0,0,0,19738787840,19746975744,0,0
1787750104533319343,77604655104,34064494592,57512194048,57396834304,0,0,0,0,0,20089798656,20100739072,0,0
1787750104667201201,77958807552,33710342144,57512194048,57396834304,0,0,0,0,0,20443951104,20450308096,0,0
1787750104800692933,78312177664,33356972032,57512194048,57396834304,0,0,0,0,0,20797321216,20790702080,0,0
1787750104928284515,78649556992,33019592704,57512194048,57396834304,0,0,0,0,0,21134438400,21129785344,0,0
1787750105056711563,78989553664,32679596032,57512194048,57396834304,0,0,0,0,0,21474435072,21466378240,0,0
1787750105184260715,79326670848,32342478848,57512194048,57396834304,0,0,0,0,0,21811552256,21793927168,0,0
1787750105311539912,79649632256,32019517440,57512194048,57396834304,0,0,0,0,0,22134775808,22120820736,0,0
1787750105437865181,79978622976,31690526720,57512194048,57396834304,0,0,0,0,0,22463504384,22454530048,0,0
1787750105566484163,80312594432,31356555264,57512194048,57396834304,0,0,0,0,0,22797737984,22790074368,0,0
1787750105694930741,80652333056,31016816640,57512194048,57396834304,0,0,0,0,0,23137476608,23131779072,0,0
1787750105826790452,80999411712,30669737984,57512194048,57396834304,0,0,0,0,0,23484293120,23475712000,0,0
1787750105956287390,81341247488,30327902208,57512194048,57396834304,0,0,0,0,0,23826391040,23819644928,0,0
1787750106086122694,81675476992,29993672704,57512194048,57396834304,0,0,0,0,0,24160620544,24150601728,0,0
1787750106214571482,82007089152,29662060544,57512194048,57396834304,0,0,0,0,0,24492232704,24482344960,0,0
1787750106345182900,82352070656,29317079040,57512194048,57396834304,0,0,0,0,0,24836952064,24824442880,0,0
1787750106473678660,82691809280,28977340416,57512194048,57396834304,0,0,0,0,0,25176952832,25165230080,0,0
