ts_ns,current_before,trigger_current,target_current,requested,current_after,rc
1787750491837339363,111652900864,107374182400,85899345920,1073741824,110578356224,0
1787750491927139498,110578356224,107374182400,85899345920,1073741824,109495316480,0
1787750492023220980,109495316480,107374182400,85899345920,1073741824,108417167360,0
1787750492110603561,108417167360,107374182400,85899345920,1073741824,107333242880,0
1787750492185226137,107333242880,107374182400,85899345920,1073741824,106250002432,0
1787750492238703522,106250002432,107374182400,85899345920,1073741824,105167085568,0
1787750492292837790,105167085568,107374182400,85899345920,1073741824,104088100864,0
1787750492346425128,104088100864,107374182400,85899345920,1073741824,103005708288,0
1787750492399361414,103005708288,107374182400,85899345920,1073741824,101926723584,0
1787750492453624615,101926723584,107374182400,85899345920,1073741824,100847476736,0
1787750492506571021,100847476736,107374182400,85899345920,1073741824,99768754176,0
1787750492585369254,99768754176,107374182400,85899345920,1073741824,98692915200,0
1787750492642798983,98692915200,107374182400,85899345920,1073741824,97614385152,0
1787750492693890465,97614385152,107374182400,85899345920,1073741824,96539533312,0
1787750492759069556,96539533312,107374182400,85899345920,1073741824,95460679680,0
1787750492829569406,95460679680,107374182400,85899345920,1073741824,94377832448,0
1787750492887225369,94377832448,107374182400,85899345920,1073741824,93295882240,0
1787750492945084556,93295882240,107374182400,85899345920,1073741824,92215455744,0
1787750493002995124,92215455744,107374182400,85899345920,1073741824,91138969600,0
1787750493063939247,91138969600,107374182400,85899345920,1073741824,90060795904,0
1787750493126550661,90060795904,107374182400,85899345920,1073741824,88981483520,0
1787750493186678920,88981483520,107374182400,85899345920,1073741824,87904215040,0
1787750493248544181,87904215040,107374182400,85899345920,1073741824,86829846528,0
1787750493305122764,86829846528,107374182400,85899345920,930500608,85898436608,0
1787750493332634631,85913370624,107374182400,85899345920,14024704,85895200768,0
1787750493360524615,85912559616,107374182400,85899345920,13213696,85898452992,0
1787750493388465660,85911293952,107374182400,85899345920,11948032,85899571200,0
1787750493415568520,85913968640,107374182400,85899345920,14622720,85895774208,0
1787750493442868443,85915975680,107374182400,85899345920,16629760,85888991232,0
1787750493469624777,85901815808,107374182400,85899345920,2469888,85893951488,0
1787750493497362178,85909221376,107374182400,85899345920,9875456,85897183232,0
1787750493524982527,85910454272,107374182400,85899345920,11108352,85898981376,0
1787750493552044136,85914038272,107374182400,85899345920,14692352,85892878336,0
1787750493579003633,85907836928,107374182400,85899345920,8491008,85893660672,0
1787750493605998961,85909884928,107374182400,85899345920,10539008,85888090112,0
1787750493633249453,85900705792,107374182400,85899345920,1359872,85896404992,0
1787750493660570887,85906116608,107374182400,85899345920,6770688,85898252288,0
1787750493687898071,85917671424,107374182400,85899345920,18325504,85891784704,0
1787750493714707005,85900005376,107374182400,85899345920,659456,85893672960,0
1787750493741701243,85911285760,107374182400,85899345920,11939840,85893812224,0
1787750493769283981,85902413824,107374182400,85899345920,3067904,85895335936,0
1787750493797158815,85914324992,107374182400,85899345920,14979072,85893308416,0
1787750493824256115,85910487040,107374182400,85899345920,11141120,85890932736,0
1787750493850863495,85902237696,107374182400,85899345920,2891776,85894328320,0
1787750493877755871,85911687168,107374182400,85899345920,12341248,85892694016,0
1787750493905170837,85906735104,107374182400,85899345920,7389184,85898338304,0
1787750493932725975,85915054080,107374182400,85899345920,15708160,85902110720,0
1787750493959652941,85914918912,107374182400,85899345920,15572992,85892489216,0
1787750493986649189,85914103808,107374182400,85899345920,14757888,85892075520,0
1787750494013835160,85910700032,107374182400,85899345920,11354112,85895299072,0
1787750494041624082,85901881344,107374182400,85899345920,2535424,85893967872,0
1787750494069457286,85910052864,107374182400,85899345920,10706944,85899464704,0
1787750494096354612,85914501120,107374182400,85899345920,15155200,85891801088,0
1787750494122981552,85904363520,107374182400,85899345920,5017600,85901737984,0
1787750494149865178,85908209664,107374182400,85899345920,8863744,85892403200,0
1787750494177535648,85906190336,107374182400,85899345920,6844416,85898027008,0
1787750494205104657,85912465408,107374182400,85899345920,13119488,85899345920,0
1787750494232114284,85909884928,107374182400,85899345920,10539008,85899018240,0
1787750494259000750,85913145344,107374182400,85899345920,13799424,85896425472,0
1787750494286259623,85911900160,107374182400,85899345920,12554240,85890031616,0
1787750494314400062,85909565440,107374182400,85899345920,10219520,85885796352,0
