Per-Second Benchmark Data
Second,SET Requests,SET Average Latency,SET Total Bytes,GET Requests,GET Average Latency,GET Total Bytes,GET Misses,GET Hits,WAIT Requests,WAIT Average Latency
0,0,0.000000,0,3556,0.000280,122418,0,3556,0,0.000000
1,0,0.000000,0,3030,0.000329,104322,0,3030,0,0.000000
2,0,0.000000,0,3749,0.000266,129166,0,3749,0,0.000000
3,0,0.000000,0,3746,0.000266,129039,0,3746,0,0.000000
4,0,0.000000,0,3176,0.000314,109400,0,3176,0,0.000000
5,0,0.000000,0,3075,0.000324,105934,0,3075,0,0.000000
6,0,0.000000,0,3142,0.000317,108200,0,3142,0,0.000000
7,0,0.000000,0,3079,0.000324,106041,0,3079,0,0.000000
8,0,0.000000,0,3196,0.000312,110038,0,3196,0,0.000000
9,0,0.000000,0,2992,0.000333,103043,0,2992,0,0.000000
10,0,0.000000,0,3223,0.000309,111035,0,3223,0,0.000000
11,0,0.000000,0,3146,0.000317,108346,0,3146,0,0.000000
12,0,0.000000,0,3193,0.000312,109975,0,3193,0,0.000000
13,0,0.000000,0,3127,0.000318,107690,0,3127,0,0.000000
14,0,0.000000,0,3540,0.000281,121867,0,3540,0,0.000000
15,0,0.000000,0,1,0.000438,34,0,1,0,0.000000

Full-Test GET Latency
Latency (<= msec),Percent
   0.039,0.000
   0.079,5.000
   0.087,10.000
   0.095,15.000
   0.103,20.000
   0.103,25.000
   0.111,30.000
   0.127,35.000
   0.127,40.000
   0.135,45.000
   0.135,50.000
   0.143,52.500
   0.143,55.000
   0.143,57.500
   0.151,60.000
   0.151,62.500
   0.151,65.000
   0.159,67.500
   0.159,70.000
   0.167,72.500
   0.167,75.000
   0.175,76.250
   0.175,77.500
   0.183,78.750
   0.191,80.000
   0.215,81.250
   0.655,82.500
   0.727,83.750
   0.799,85.000
   1.055,86.250
   1.127,87.500
   1.151,88.125
   1.167,88.750
   1.175,89.375
   1.191,90.000
   1.199,90.625
   1.215,91.250
   1.223,91.875
   1.231,92.500
   1.239,93.125
   1.255,93.750
   1.255,94.062
   1.263,94.375
   1.263,94.688
   1.271,95.000
   1.279,95.312
   1.279,95.625
   1.287,95.938
   1.295,96.250
   1.295,96.562
   1.303,96.875
   1.303,97.031
   1.311,97.188
   1.311,97.344
   1.319,97.500
   1.319,97.656
   1.327,97.812
   1.327,97.969
   1.327,98.125
   1.335,98.281
   1.343,98.438
   1.343,98.516
   1.343,98.594
   1.351,98.672
   1.351,98.750
   1.351,98.828
   1.359,98.906
   1.359,98.984
   1.359,99.062
   1.367,99.141
   1.367,99.219
   1.375,99.258
   1.375,99.297
   1.375,99.336
   1.383,99.375
   1.383,99.414
   1.383,99.453
   1.391,99.492
   1.391,99.531
   1.391,99.570
   1.399,99.609
   1.399,99.629
   1.407,99.648
   1.407,99.668
   1.407,99.688
   1.407,99.707
   1.415,99.727
   1.415,99.746
   1.415,99.766
   1.423,99.785
   1.423,99.805
   1.423,99.814
   1.431,99.824
   1.431,99.834
   1.431,99.844
   1.431,99.854
   1.439,99.863
   1.439,99.873
   1.447,99.883
   1.447,99.893
   1.455,99.902
   1.455,99.907
   1.455,99.912
   1.455,99.917
   1.455,99.922
   1.455,99.927
   1.463,99.932
   1.463,99.937
   1.471,99.941
   1.471,99.946
   1.479,99.951
   1.487,99.954
   1.487,99.956
   1.487,99.958
   1.495,99.961
   1.503,99.963
   1.503,99.966
   1.511,99.968
   1.519,99.971
   1.519,99.973
   1.543,99.976
   1.543,99.977
   1.559,99.978
   1.559,99.979
   1.559,99.980
   1.583,99.982
   1.583,99.983
   1.583,99.984
   1.583,99.985
   1.599,99.987
   1.647,99.988
   1.647,99.988
   1.647,99.989
   1.647,99.990
   1.775,99.990
   1.775,99.991
   1.775,99.991
   1.935,99.992
   1.935,99.993
   1.935,99.993
   1.935,99.994
   1.935,99.994
   1.935,99.995
   1.935,99.995
   1.935,99.995
   1.935,99.995
   1.935,99.996
   2.303,99.996
   2.303,99.996
   2.303,99.997
   2.303,99.997
   2.303,99.997
   2.303,99.997
   2.303,99.997
   2.303,99.998
   2.303,99.998
   2.303,99.998
   2.495,99.998
   2.495,100.000

Full-Test SET Latency
Latency (<= msec),Percent
   0.000,100.000

Full-Test WAIT Latency
Latency (<= msec),Percent
   0.000,100.000
