ts_ns,current_before,target_current,requested,current_after,rc
1787748066998120084,77316505600,77309411328,7094272,77306470400,0
1787748067026352441,77375152128,77309411328,65740800,77312499712,0
1787748067055324762,77384327168,77309411328,74915840,77313024000,0
1787748067084274943,77379870720,77309411328,70459392,77316431872,0
1787748067112459870,77375938560,77309411328,66527232,77314859008,0
1787748067140593146,77373054976,77309411328,63643648,77311713280,0
1787748067168870174,77370433536,77309411328,61022208,77313810432,0
1787748067197496409,77370957824,77309411328,61546496,77314859008,0
1787748067225845228,77366763520,77309411328,57352192,77310402560,0
1787748067253920833,77367287808,77309411328,57876480,77310664704,0
1787748067281837365,77367025664,77309411328,57614336,77310664704,0
1787748067310504730,77367025664,77309411328,57614336,77310664704,0
1787748067339821498,77369122816,77309411328,59711488,77312761856,0
1787748067368130096,77369909248,77309411328,60497920,77313286144,0
1787748067396208331,77370433536,77309411328,61022208,77313810432,0
1787748067424253425,77370433536,77309411328,61022208,77313548288,0
1787748067453688375,77371482112,77309411328,62070784,77309878272,0
1787748067481613147,77370433536,77309411328,61022208,77312499712,0
1787748067509066410,77380919296,77309411328,71507968,77308829696,0
1787748067536401821,77377249280,77309411328,67837952,77310926848,0
1787748067564186470,77379870720,77309411328,70459392,77313286144,0
1787748067592986908,77374889984,77309411328,65478656,77313024000,0
1787748067620982161,77372268544,77309411328,62857216,77310140416,0
1787748067648627588,77368860672,77309411328,59449344,77311713280,0
1787748067676413127,77368860672,77309411328,59449344,77312237568,0
1787748067704826578,77368860672,77309411328,59449344,77312237568,0
1787748067733431413,77370171392,77309411328,60760064,77313024000,0
1787748067761120270,77369909248,77309411328,60497920,77313286144,0
1787748067789200635,77369909248,77309411328,60497920,77313548288,0
1787748067816866032,77370171392,77309411328,60760064,77313286144,0
1787748067845189541,77370171392,77309411328,60760064,77313286144,0
1787748067873691984,77371219968,77309411328,61808640,77314072576,0
1787748067901379721,77370433536,77309411328,61022208,77313548288,0
1787748067929022488,77370171392,77309411328,60760064,77313286144,0
1787748067957097022,77368074240,77309411328,58662912,77311188992,0
1787748067985595255,77368860672,77309411328,59449344,77312237568,0
1787748068013531437,77368860672,77309411328,59449344,77311975424,0
1787748068041795815,77368336384,77309411328,58925056,77311451136,0
1787748068069919191,77369122816,77309411328,59711488,77312237568,0
1787748068098301791,77368074240,77309411328,58662912,77311451136,0
1787748068126954056,77368074240,77309411328,58662912,77311451136,0
1787748068154619633,77369647104,77309411328,60235776,77311451136,0
1787748068182217709,77380919296,77309411328,71507968,77306994688,0
1787748068209304376,77363617792,77309411328,54206464,77310140416,0
1787748068237186907,77378035712,77309411328,68624384,77311713280,0
1787748068266081936,77373579264,77309411328,64167936,77311713280,0
1787748068294301594,77370957824,77309411328,61546496,77314072576,0
1787748068321949450,77370695680,77309411328,61284352,77313810432,0
1787748068349808811,77370695680,77309411328,61284352,77313286144,0
1787748068377969547,77383278592,77309411328,73867264,77311451136,0
1787748068406000631,77381181440,77309411328,71770112,77309091840,0
1787748068433873762,77378822144,77309411328,69410816,77312237568,0
1787748068461963407,77373579264,77309411328,64167936,77310664704,0
1787748068490945568,77370171392,77309411328,60760064,77313810432,0
1787748068520217015,77372530688,77309411328,63119360,77310402560,0
1787748068548261069,77369909248,77309411328,60497920,77313286144,0
1787748068576068099,77369909248,77309411328,60497920,77313286144,0
1787748068603679865,77369384960,77309411328,59973632,77312499712,0
1787748068632596015,77369909248,77309411328,60497920,77313548288,0
1787748068661095157,77370695680,77309411328,61284352,77313810432,0
1787748068689049480,77370957824,77309411328,61546496,77314334720,0
1787748068716657086,77370695680,77309411328,61284352,77313548288,0
1787748068744642419,77370433536,77309411328,61022208,77313548288,0
1787748068772712573,77383016448,77309411328,73605120,77310926848,0
