ts_ns,parent_current,parent_runway_below_high,main_current,main_anon,main_file,main_pgscan_direct,main_pgsteal_direct,main_psi_some_us,main_psi_full_us,sideload_current,sideload_file,parent_high_events,parent_max_events
1787748058484651635,57518010368,36971270144,57513230336,57396797440,0,0,0,0,0,1855488,0,0,0
1787748058617980488,57525047296,36964233216,57513230336,57396797440,0,0,0,0,0,8892416,0,0,0
1787748058751321882,57527529472,36961751040,57513230336,57396797440,0,0,0,0,0,11374592,0,0,0
1787748058880596152,57527529472,36961751040,57513230336,57396797440,0,0,0,0,0,11374592,0,0,0
1787748059014282312,57527504896,36961775616,57513230336,57396797440,0,0,0,0,0,11350016,0,0,0
1787748059144425777,57527504896,36961775616,57513230336,57396797440,0,0,0,0,0,11350016,0,0,0
1787748059274139515,57527504896,36961775616,57513230336,57396797440,0,0,0,0,0,11350016,0,0,0
1787748059404429703,57527504896,36961775616,57513230336,57396797440,0,0,0,0,0,11350016,0,0,0
1787748059537303089,57722507264,36766773248,57513230336,57396797440,0,0,0,0,0,206614528,266694656,0,0
1787748059673626167,58082955264,36406325248,57513230336,57396797440,0,0,0,0,0,566800384,609316864,0,0
1787748059802483689,58423218176,36066062336,57513230336,57396797440,0,0,0,0,0,907325440,957313024,0,0
1787748059935876304,58776326144,35712954368,57513230336,57396797440,0,0,0,0,0,1260433408,1309372416,0,0
1787748060069586905,59130744832,35358535680,57513230336,57396842496,0,0,0,0,0,1614852096,1654484992,0,0
1787748060198012329,59463929856,35025350656,57513230336,57396842496,0,0,0,0,0,1948037120,1979412480,0,0
1787748060326369711,59799474176,34689806336,57513230336,57396842496,0,0,0,0,0,2283319296,2321772544,0,0
1787748060454635933,60139724800,34349555712,57513230336,57396842496,0,0,0,0,0,2623832064,2677764096,0,0
1787748060590280499,60499353600,33989926912,57513230336,57396842496,0,0,0,0,0,2983460864,3030347776,0,0
1787748060725664030,60857704448,33631576064,57513230336,57396842496,0,0,0,0,0,3341811712,3389485056,0,0
1787748060859011484,61211074560,33278205952,57513230336,57396842496,0,0,0,0,0,3695181824,3728044032,0,0
1787748060987294856,61549764608,32939515904,57513230336,57396842496,0,0,0,0,0,4033609728,4078792704,0,0
1787748061121803971,61905231872,32584048640,57513230336,57396842496,0,0,0,0,0,4389076992,4428099584,0,0
1787748061252778452,62244184064,32245096448,57513230336,57396842496,0,0,0,0,0,4728029184,4770590720,0,0
1787748061385075857,62596243456,31893037056,57513230336,57396842496,0,0,0,0,0,5080088576,5120159744,0,0
1787748061517752329,62947233792,31542046720,57513230336,57396842496,0,0,0,0,0,5431078912,5463044096,0,0
1787748061646713033,63289856000,31199424512,57513230336,57396842496,0,0,0,0,0,5773701120,5805535232,0,0
1787748061775705217,63630643200,30858637312,57513230336,57396842496,0,0,0,0,0,6114488320,6149992448,0,0
1787748061906895412,63978770432,30510510080,57513230336,57396842496,0,0,0,0,0,6462877696,6497988608,0,0
1787748062037724160,64326111232,30163169280,57513230336,57396842496,0,0,0,0,0,6809956352,6839300096,0,0
1787748062166878447,64668471296,29820809216,57513230336,57396842496,0,0,0,0,0,7152316416,7179694080,0,0
1787748062300665219,65013977088,29475303424,57513230336,57396842496,0,0,0,0,0,7497822208,7521529856,0,0
1787748062428592484,65351880704,29137399808,57513230336,57396842496,0,0,0,0,0,7835725824,7883943936,0,0
1787748062568339276,65721503744,28767776768,57513230336,57396842496,0,0,0,0,0,8205348864,8235479040,0,0
1787748062699526390,66067533824,28421746688,57513230336,57396842496,0,0,0,0,0,8551641088,8580591616,0,0
1787748062831291155,66417758208,28071522304,57513230336,57396842496,0,0,0,0,0,8901603328,8933568512,0,0
1787748062964090020,66769031168,27720249344,57513230336,57396842496,0,0,0,0,0,9253138432,9280122880,0,0
1787748063094518400,67115061248,27374219264,57513230336,57396842496,0,0,0,0,0,9598906368,9622220800,0,0
1787748063226299876,67455848448,27033432064,57513230336,57396842496,0,0,0,0,0,9939693568,9972576256,0,0
1787748063360580317,67810639872,26678640640,57513230336,57396842496,0,0,0,0,0,10294747136,10333548544,0,0
1787748063498291481,68174495744,26314784768,57513230336,57396842496,0,0,0,0,0,10658603008,10683641856,0,0
1787748063630504535,68525768704,25963511808,57513230336,57396842496,0,0,0,0,0,11009875968,11040157696,0,0
1787748063765088962,68879663104,25609617408,57513230336,57396842496,0,0,0,0,0,11363508224,11388940288,0,0
1787748063897865406,69231198208,25258082304,57513230336,57396842496,0,0,0,0,0,11715043328,11733790720,0,0
1787748064027545063,69573033984,24916246528,57513230336,57396842496,0,0,0,0,0,12056879104,12072742912,0,0
1787748064156179480,69911199744,24578080768,57513230336,57396842496,0,0,0,0,0,12395044864,12412219392,0,0
1787748064285090063,70242287616,24246992896,57513230336,57396842496,0,0,0,0,0,12726394880,12736229376,0,0
1787748064412055771,70579666944,23909613568,57513230336,57396842496,0,0,0,0,0,13063774208,13092089856,0,0
1787748064547256099,70939328512,23549952000,57513230336,57396842496,0,0,0,0,0,13423173632,13439954944,0,0
1787748064678284761,71284310016,23204970496,57513230336,57396842496,0,0,0,0,0,13768155136,13780611072,0,0
1787748064807032171,71621951488,22867329024,57513230336,57396842496,0,0,0,0,0,14106058752,14127296512,0,0
1787748064939758353,71973486592,22515793920,57513230336,57396842496,0,0,0,0,0,14457331712,14488268800,0,0
1787748065080046835,72344420352,22144860160,57513230336,57396842496,0,0,0,0,0,14828265472,14841507840,0,0
1787748065211694978,72682323968,21806956544,57513230336,57396842496,0,0,0,0,0,15166431232,15176790016,0,0
1787748065342480245,73030451200,21458829312,57513230336,57396842496,0,0,0,0,0,15514296320,15527931904,0,0
1787748065474512516,73379627008,21109653504,57513230336,57396842496,0,0,0,0,0,15863472128,15872520192,0,0
1787748065604175822,73720938496,20768342016,57513230336,57396842496,0,0,0,0,0,16205045760,16224841728,0,0
1787748065737469426,74043113472,20446167040,57513230336,57396842496,0,0,0,0,0,16527220736,16527880192,0,0
1787748065864592596,74355589120,20133691392,57513230336,57396842496,0,0,0,0,0,16839696384,16839045120,0,0
1787748065990447393,74687463424,19801817088,57513230336,57396842496,0,0,0,0,0,17171308544,17187434496,0,0
1787748066125717702,75044765696,19444514816,57513230336,57396842496,0,0,0,0,0,17528610816,17538969600,0,0
1787748066257887235,75385028608,19104251904,57513230336,57396842496,0,0,0,0,0,17868873728,17879625728,0,0
1787748066389155771,75721621504,18767659008,57513230336,57396842496,0,0,0,0,0,18205728768,18203766784,0,0
1787748066515657170,76054806528,18434473984,57513230336,57396842496,0,0,0,0,0,18538913792,18538131456,0,0
1787748066642660868,76389826560,18099453952,57513230336,57396842496,0,0,0,0,0,18873671680,18877739008,0,0
1787748066772356226,76732186624,17757093888,57513230336,57396842496,0,0,0,0,0,19216293888,19215249408,0,0
1787748066900356362,77069565952,17419714560,57513230336,57396842496,0,0,0,0,0,19553673216,19546075136,0,0
1787748067026762729,77325869056,17163411456,57513230336,57396842496,0,0,0,0,0,19809976320,19797528576,0,0
1787748067157869872,77364404224,17124876288,57513230336,57396842496,0,0,0,0,0,19848249344,19783766016,0,0
1787748067289467864,77339762688,17149517824,57513230336,57396842496,0,0,0,0,0,19823869952,19738939392,0,0
1787748067427100567,77333733376,17155547136,57513230336,57396842496,0,0,0,0,0,19817840640,19748638720,0,0
1787748067563404076,77322723328,17166557184,57513230336,57396842496,0,0,0,0,0,19806830592,19799363584,0,0
1787748067694582180,77363617792,17125662720,57513230336,57396842496,0,0,0,0,0,19847462912,19779440640,0,0
1787748067826079511,77347627008,17141653504,57513230336,57396842496,0,0,0,0,0,19831734272,19754799104,0,0
1787748067956191966,77320626176,17168654336,57513230336,57396842496,0,0,0,0,0,19804733440,19792416768,0,0
1787748068087851619,77362831360,17126449152,57513230336,57396842496,0,0,0,0,0,19846676480,19773804544,0,0
1787748068218390842,77343170560,17146109952,57513230336,57396842496,0,0,0,0,0,19827015680,19744444416,0,0
1787748068345757407,77313548288,17175732224,57513230336,57396842496,0,0,0,0,0,19797655552,19787829248,0,0
1787748068476485573,77358899200,17130381312,57513230336,57396842496,0,0,0,0,0,19843006464,19770920960,0,0
1787748068608456932,77335044096,17154236416,57513230336,57396842496,0,0,0,0,0,19818889216,19736842240,0,0
1787748068738715920,77370171392,17119109120,57513230336,57396842496,0,0,0,0,0,19854278656,19780358144,0,0
1787748068866429841,77349199872,17140080640,57513230336,57396842496,0,0,0,0,0,19833307136,19749031936,0,0
1787748068996615148,77323247616,17166032896,57513230336,57396842496,0,0,0,0,0,19807092736,19761614848,0,0
1787748069132089821,77367812096,17121468416,57513230336,57396842496,0,0,0,0,0,19851919360,19775901696,0,0
1787748069260783210,77346840576,17142439936,57513230336,57396842496,0,0,0,0,0,19830947840,19744444416,0,0
1787748069390136081,77318791168,17170489344,57513230336,57396842496,0,0,0,0,0,19802636288,19786518528,0,0
1787748069522323014,77365190656,17124089856,57513230336,57396842496,0,0,0,0,0,19849035776,19777605632,0,0
1787748069655789091,77358374912,17130905600,57513230336,57396842496,0,0,0,0,0,19842220032,19772100608,0,0
1787748069791697592,77351559168,17137721344,57513230336,57396842496,0,0,0,0,0,19835404288,19753488384,0,0
1787748069923573460,77331111936,17158168576,57513230336,57396842496,0,0,0,0,0,19815219200,19726225408,0,0
1787748070055056920,77311188992,17178091520,57513230336,57396842496,0,0,0,0,0,19795034112,19775115264,0,0
