case_id,mode,run,load,measure_secs,get_connections,set_connections,get_ops_sec,set_ops_sec,total_ops_sec,get_p50_ms,get_p99_ms,get_p999_ms,get_p9999_ms,set_p50_ms,set_p99_ms,set_p999_ms,set_p9999_ms,joint_p99_ms,joint_p999_ms,joint_p9999_ms,get_misses_sec,parent_high_events,parent_max_events,parent_oom_events,main_psi_some_ms,main_start_gib,main_end_gib,side_start_gib,side_end_gib,parent_start_gib,parent_end_gib,evictions,controller_rows_during_measure,controller_requested_gib_during_measure,reclaim_count,reclaim_total_ns,reclaim_requested_pages,reclaim_reclaimed_pages,reclaim_threads,reclaim_time_ms
baseline-h1,baseline,h1,high,20,32,32,94416.41,110830.76,205247.16999999998,0.159,1.455,1.951,5.695,0.127,1.495,1.903,5.407,1.495,1.951,5.695,0.0,628,0,0,28.308,54.01258850097656,63.51325607299805,49.754432678222656,40.39296340942383,103.76221466064453,103.90894317626953,0,0,0.0,463,822637289,35840,816494,32,822.637289
proactive-h1,proactive,h1,high,20,32,32,97371.92,114845.3,212217.22,0.151,1.423,1.551,2.527,0.111,1.455,1.647,2.095,1.455,1.647,2.527,0.05,0,0,0,0.0,54.05001449584961,63.87160873413086,26.432846069335938,26.43273162841797,80.48275756835938,90.30706405639648,0,0,0.0,0,0,0,0,0,0.0
baseline-h3,baseline,h3,high,20,32,32,95279.11,116327.11,211606.22,0.143,1.527,1.727,3.919,0.103,1.535,1.719,2.863,1.535,1.727,3.919,0.1,864,0,0,22.362,54.0201301574707,64.00484848022461,49.95886993408203,39.95405960083008,103.97906112670898,103.96163177490234,0,0,0.0,669,679918708,48896,1044672,32,679.918708
proactive-h3,proactive,h3,high,20,32,32,104812.46,134315.48,239127.94,0.135,1.359,1.447,2.479,0.095,1.343,1.431,1.783,1.359,1.447,2.479,0.05,0,0,0,0.0,54.135982513427734,65.614990234375,26.43185806274414,26.43185043334961,80.56393051147461,92.04956436157227,0,0,0.0,0,0,0,0,0,0.0
baseline-h4,baseline,h4,high,20,32,32,100581.08,124972.96,225554.04,0.135,1.519,1.719,6.943,0.095,1.503,1.687,6.431,1.519,1.719,6.943,0.05,1844,0,0,77.153,54.05835723876953,64.77885055541992,49.813446044921875,39.176151275634766,103.86323928833008,103.95772552490234,0,0,0.0,1462,2331070178,106944,2187774,32,2331.070178
proactive-h4,proactive,h4,high,20,32,32,102133.7,129405.17,231538.87,0.135,1.367,1.455,2.415,0.095,1.359,1.471,2.175,1.367,1.471,2.415,0.05,0,0,0,0.0,54.072628021240234,65.17459106445312,26.42816162109375,26.428131103515625,80.49511337280273,91.6054458618164,0,0,0.0,0,0,0,0,0,0.0
baseline-h5,baseline,h5,high,20,32,32,99418.92,126346.8,225765.72,0.135,1.407,1.519,12.287,0.095,1.399,1.527,12.479,1.407,1.527,12.479,0.0,885,0,0,57.072,54.00081253051758,64.90265274047852,49.9863395690918,38.815673828125,103.9784927368164,103.72105026245117,0,0,0.0,633,1144119115,45952,1009018,32,1144.119115
proactive-h5,proactive,h5,high,20,32,32,101004.3,124014.29,225018.59,0.143,1.383,1.479,2.431,0.095,1.383,1.583,2.143,1.383,1.583,2.431,0.05,0,0,0,0.0,54.015323638916016,64.69377136230469,26.432632446289062,26.432628631591797,80.44534683227539,91.12912368774414,0,0,0.0,0,0,0,0,0,0.0
baseline-s1,baseline,s1,medium,20,16,16,101477.29,100605.2,202082.49,0.087,1.247,1.335,8.031,0.087,1.263,1.359,7.743,1.263,1.359,8.031,0.05,190,0,0,41.486,53.9652214050293,62.59434127807617,50.02201461791992,41.24000549316406,103.98857498168945,103.83707046508789,0,0,0.0,137,578016580,9280,205402,16,578.01658
baseline-s2,baseline,s2,medium,20,16,16,116273.82,120033.13,236306.95,0.087,1.199,1.295,3.151,0.079,1.215,1.303,3.647,1.215,1.303,3.647,0.05,219,0,0,17.588,54.06028366088867,64.33658599853516,49.9052734375,39.597816467285156,103.96883773803711,103.93700790405273,0,0,0.0,155,188578322,10688,237536,16,188.578322
baseline-s3,baseline,s3,medium,20,16,16,89960.67,93149.07,183109.74,0.095,1.239,1.335,8.063,0.095,1.263,1.383,8.255,1.263,1.383,8.255,0.05,217,0,0,33.926,53.944175720214844,61.925865173339844,50.01546859741211,41.94379806518555,103.95676040649414,103.87238693237305,0,0,0.0,130,395603295,9216,220425,16,395.603295
baseline-l1,baseline,l1,low,20,8,8,82491.44,97647.31,180138.75,0.079,0.583,0.663,3.887,0.063,0.583,0.983,3.775,0.583,0.983,3.887,0.05,1641,0,0,103.795,53.862709045410156,62.33074951171875,50.1237907409668,41.6534309387207,103.99913787841797,103.98678588867188,0,0,0.0,1481,793279251,95040,1906584,8,793.279251
baseline-l2,baseline,l2,low,20,8,8,83101.59,100395.36,183496.95,0.079,0.583,1.087,2.911,0.063,0.583,1.143,2.639,0.583,1.143,2.911,0.05,1136,0,0,58.396,53.827667236328125,62.57524871826172,50.16372299194336,41.3231315612793,103.99146270751953,103.90110397338867,0,0,0.0,997,422079754,64064,1361539,8,422.079754
baseline-l3,baseline,l3,low,20,8,8,83607.85,99522.42,183130.27000000002,0.079,0.583,0.879,3.119,0.063,0.583,1.103,2.799,0.583,1.103,3.119,0.0,945,0,0,63.412,53.83854293823242,62.497928619384766,50.14617919921875,41.34661865234375,103.98503494262695,103.84727096557617,0,0,0.0,825,521529736,53760,1130935,8,521.529736
